owner,name,stars,forks,language,release_count,contributors,avg_release_interval,release_type,reason
codecrafters-io,build-your-own-x,434373,40732,Markdown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
freeCodeCamp,freeCodeCamp,431241,42241,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
sindresorhus,awesome,412160,32111,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
EbookFoundation,free-programming-books,376167,65318,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
public-apis,public-apis,375992,39751,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
kamranahmedse,developer-roadmap,342819,43294,TypeScript,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
jwasham,coding-interview-university,332408,81113,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
donnemartin,system-design-primer,325580,53048,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
996icu,996.ICU,274733,21023,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
vinta,awesome-python,267929,26646,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
awesome-selfhosted,awesome-selfhosted,256540,11843,Unknown,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
practical-tutorials,project-based-learning,248974,32560,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
facebook,react,240335,49748,JavaScript,106,195500,48.4,NOT_ELIGIBLE,Intervalo inadequado (48.4 dias)
TheAlgorithms,Python,212478,49129,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
vuejs,vue,209663,33798,TypeScript,249,38100,19.4,RAPID,19.4 dias entre releases
torvalds,linux,206395,58242,C,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ossu,computer-science,197085,24566,HTML,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
trekhleb,javascript-algorithms,193881,30939,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
trimstray,the-book-of-secret-knowledge,192573,11806,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
tensorflow,tensorflow,192321,74957,C++,219,496300,17.9,RAPID,17.9 dias entre releases
getify,You-Dont-Know-JS,183730,33669,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
CyC2018,CS-Notes,182744,51261,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ohmyzsh,ohmyzsh,182503,26269,Shell,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Significant-Gravitas,AutoGPT,179501,46097,Python,79,79600,13.1,RAPID,13.1 dias entre releases
microsoft,vscode,178234,35959,TypeScript,183,284900,11.9,RAPID,11.9 dias entre releases
jackfrued,Python-100-Days,174049,54807,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
flutter,flutter,173724,29456,Dart,7,0,0,NOT_ELIGIBLE,Poucas releases (7)
twbs,bootstrap,173663,79162,MDX,94,164800,57.7,NOT_ELIGIBLE,Intervalo inadequado (57.7 dias)
github,gitignore,170503,83000,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
jlevy,the-art-of-command-line,158681,14748,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
AUTOMATIC1111,stable-diffusion-webui,157865,29298,Python,27,64000,23.4,RAPID,23.4 dias entre releases
avelino,awesome-go,156679,12744,Go,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ollama,ollama,155425,13544,Go,158,54300,5.8,RAPID,5.8 dias entre releases
massgravel,Microsoft-Activation-Scripts,154972,14956,Batchfile,26,800,86.1,SLOW,86.1 dias entre releases
n8n-io,n8n,154253,49268,TypeScript,427,50900,3.3,NOT_ELIGIBLE,Intervalo inadequado (3.3 dias)
Snailclimb,JavaGuide,152413,46038,Java,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
huggingface,transformers,152132,31050,Python,231,363900,12.2,RAPID,12.2 dias entre releases
airbnb,javascript,147741,26797,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ytdl-org,youtube-dl,138678,10524,Python,341,101000,6.1,RAPID,6.1 dias entre releases
langflow-ai,langflow,137237,7918,Python,269,31400,6.3,RAPID,6.3 dias entre releases
f,awesome-chatgpt-prompts,136144,18113,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
vercel,next.js,135472,29754,JavaScript,1000,398800,2.3,NOT_ELIGIBLE,Intervalo inadequado (2.3 dias)
yt-dlp,yt-dlp,133921,10754,Python,124,167300,15.1,RAPID,15.1 dias entre releases
521xueweihan,HelloGitHub,133123,10848,Python,59,1100,41.9,NOT_ELIGIBLE,Intervalo inadequado (41.9 dias)
yangshun,tech-interview-handbook,131591,15964,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
golang,go,130689,18435,Go,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Genymobile,scrcpy,130677,12235,C,49,15700,62.1,SLOW,62.1 dias entre releases
labuladong,fucking-algorithm,129746,23458,Markdown,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
Chalarangelo,30-seconds-of-code,125699,12364,JavaScript,12,0,0,NOT_ELIGIBLE,Poucas releases (12)
microsoft,PowerToys,125460,7461,C#,122,58600,18.4,RAPID,18.4 dias entre releases
facebook,react-native,124418,24930,C++,424,404600,10.9,RAPID,10.9 dias entre releases
electron,electron,118978,16619,C++,1000,152800,4.0,NOT_ELIGIBLE,Intervalo inadequado (4.0 dias)
langchain-ai,langchain,118957,19594,Python,1000,354000,2.1,NOT_ELIGIBLE,Intervalo inadequado (2.1 dias)
kubernetes,kubernetes,118409,41643,Go,763,549400,7.9,RAPID,7.9 dias entre releases
krahets,hello-algo,118238,14517,Java,9,0,0,NOT_ELIGIBLE,Poucas releases (9)
langgenius,dify,118121,18257,TypeScript,148,103500,6.8,RAPID,6.8 dias entre releases
justjavac,free-programming-books-zh_CN,115609,28360,Unknown,3,0,0,NOT_ELIGIBLE,Poucas releases (3)
DigitalPlatDev,FreeDomain,115181,2108,HTML,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ripienaar,free-for-dev,114615,11727,HTML,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
open-webui,open-webui,114337,15940,JavaScript,131,71200,6.6,RAPID,6.6 dias entre releases
nodejs,node,114162,33683,JavaScript,467,423500,8.9,RAPID,8.9 dias entre releases
d3,d3,111733,22851,Shell,194,15300,26.7,RAPID,26.7 dias entre releases
excalidraw,excalidraw,109719,11412,TypeScript,14,0,0,NOT_ELIGIBLE,Poucas releases (14)
mrdoob,three.js,109236,36058,JavaScript,173,243900,33.7,RAPID,33.7 dias entre releases
axios,axios,108084,11388,JavaScript,104,53200,36.1,NOT_ELIGIBLE,Intervalo inadequado (36.1 dias)
rust-lang,rust,107653,13939,Rust,142,796900,33.4,RAPID,33.4 dias entre releases
microsoft,TypeScript,106633,13089,TypeScript,213,92100,20.2,RAPID,20.2 dias entre releases
denoland,deno,105028,5759,Rust,351,112800,7.5,RAPID,7.5 dias entre releases
goldbergyoni,nodebestpractices,104492,10630,Dockerfile,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
facebook,create-react-app,103822,27145,JavaScript,83,94600,33.6,RAPID,33.6 dias entre releases
GrowingGit,GitHub-Chinese-Top-Charts,103480,13377,Java,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
godotengine,godot,102917,23522,C++,64,354800,63.4,SLOW,63.4 dias entre releases
rustdesk,rustdesk,101948,14942,Rust,33,39000,53.6,NOT_ELIGIBLE,Intervalo inadequado (53.6 dias)
microsoft,generative-ai-for-beginners,101382,53780,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
microsoft,terminal,100777,8894,C++,142,45700,35.0,RAPID,35.0 dias entre releases
fatedier,frp,100337,14583,Go,107,13500,34.4,RAPID,34.4 dias entre releases
Hack-with-Github,Awesome-Hacking,100194,9653,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
deepseek-ai,DeepSeek-V3,100153,16323,Python,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
papers-we-love,papers-we-love,99965,6155,Shell,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
angular,angular,99224,26731,TypeScript,500,251500,6.1,RAPID,6.1 dias entre releases
shadcn-ui,ui,99114,7115,TypeScript,62,37400,18.0,RAPID,18.0 dias entre releases
tauri-apps,tauri,98586,3149,Rust,1000,51300,12.5,RAPID,12.5 dias entre releases
iptv-org,iptv,98310,4193,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
mui,material-ui,96942,32690,JavaScript,551,339700,7.8,RAPID,7.8 dias entre releases
ant-design,ant-design,96542,53909,TypeScript,720,261300,5.7,RAPID,5.7 dias entre releases
Anduin2017,HowToCook,95585,10662,Dockerfile,4,0,0,NOT_ELIGIBLE,Poucas releases (4)
pytorch,pytorch,94711,25793,Python,62,602200,54.1,NOT_ELIGIBLE,Intervalo inadequado (54.1 dias)
nvbn,thefuck,94584,3798,Python,17,0,0,NOT_ELIGIBLE,Poucas releases (17)
x1xhlol,system-prompts-and-models-of-ai-tools,94492,25496,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
neovim,neovim,94004,6396,Vim Script,47,134200,77.7,SLOW,77.7 dias entre releases
mtdvio,every-programmer-should-know,94004,8450,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
microsoft,Web-Dev-For-Beginners,93998,14611,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ryanmcdermott,clean-code-javascript,93977,12485,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
iluwatar,java-design-patterns,93286,27325,Java,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
comfyanonymous,ComfyUI,92832,10449,Python,90,25000,12.3,RAPID,12.3 dias entre releases
puppeteer,puppeteer,92792,9323,TypeScript,604,53600,9.8,RAPID,9.8 dias entre releases
jaywcjlove,awesome-mac,92554,6987,JavaScript,12,0,0,NOT_ELIGIBLE,Poucas releases (12)
supabase,supabase,91950,10493,TypeScript,22,171600,83.8,SLOW,83.8 dias entre releases
fastapi,fastapi,91559,8164,Python,223,84900,12.8,RAPID,12.8 dias entre releases
deepseek-ai,DeepSeek-R1,91440,11783,Unknown,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
tailwindlabs,tailwindcss,90918,4775,TypeScript,295,32800,14.0,RAPID,14.0 dias entre releases
openai,whisper,90394,11321,Python,13,0,0,NOT_ELIGIBLE,Poucas releases (13)
PanJiaChen,vue-element-admin,90080,30655,Vue,49,12400,23.4,RAPID,23.4 dias entre releases
2dust,v2rayN,89451,13578,C#,282,11300,8.6,RAPID,8.6 dias entre releases
ggml-org,llama.cpp,89093,13551,C++,1000,133200,1.2,NOT_ELIGIBLE,Intervalo inadequado (1.2 dias)
nvm-sh,nvm,88898,9522,Shell,70,40700,60.8,SLOW,60.8 dias entre releases
storybookjs,storybook,88581,9766,TypeScript,1000,251800,3.1,NOT_ELIGIBLE,Intervalo inadequado (3.1 dias)
florinpop17,app-ideas,87623,10109,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
gin-gonic,gin,86826,8476,Go,28,49400,163.6,SLOW,163.6 dias entre releases
bitcoin,bitcoin,86655,38158,C++,60,126900,70.3,SLOW,70.3 dias entre releases
ChatGPTNextWeb,NextChat,86340,60870,TypeScript,77,30100,13.3,RAPID,13.3 dias entre releases
django,django,85661,33192,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
opencv,opencv,84752,56345,C++,66,233900,84.7,SLOW,84.7 dias entre releases
sveltejs,svelte,84656,4664,JavaScript,547,87000,2.7,NOT_ELIGIBLE,Intervalo inadequado (2.7 dias)
gohugoio,hugo,84550,8081,Go,347,90300,14.1,RAPID,14.1 dias entre releases
mermaid-js,mermaid,83912,8237,TypeScript,174,74300,30.1,RAPID,30.1 dias entre releases
immich-app,immich,83526,4381,TypeScript,278,76700,6.4,RAPID,6.4 dias entre releases
laravel,laravel,82658,24561,Blade,207,83300,16.6,RAPID,16.6 dias entre releases
microsoft,markitdown,82571,4657,Python,15,0,0,NOT_ELIGIBLE,Poucas releases (15)
gothinkster,realworld,82498,7532,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
animate-css,animate.css,82415,16150,CSS,22,13100,127.0,SLOW,127.0 dias entre releases
home-assistant,core,82389,35763,Python,1000,498600,3.8,NOT_ELIGIBLE,Intervalo inadequado (3.8 dias)
macrozheng,mall,82037,29531,Java,3,0,0,NOT_ELIGIBLE,Poucas releases (3)
oven-sh,bun,81995,3474,Zig,201,86300,8.5,RAPID,8.5 dias entre releases
3b1b,manim,81636,6922,Python,13,0,0,NOT_ELIGIBLE,Poucas releases (13)
google-gemini,gemini-cli,81558,9107,TypeScript,159,34500,2.0,NOT_ELIGIBLE,Intervalo inadequado (2.0 dias)
clash-verge-rev,clash-verge-rev,80585,5965,TypeScript,53,11600,14.2,RAPID,14.2 dias entre releases
tonsky,FiraCode,80481,3176,Clojure,29,12800,102.8,SLOW,102.8 dias entre releases
bregman-arie,devops-exercises,79712,18044,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
MunGell,awesome-for-beginners,79403,7573,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
microsoft,playwright,78997,4788,TypeScript,154,66800,13.7,RAPID,13.7 dias entre releases
spring-projects,spring-boot,78884,41614,Java,326,149800,25.8,RAPID,25.8 dias entre releases
microsoft,ML-For-Beginners,78643,18167,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
doocs,advanced-java,78454,19288,Java,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
ruanyf,weekly,78333,3692,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
DopplerHQ,awesome-interview-questions,78167,9212,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
rasbt,LLMs-from-scratch,77963,11508,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
louislam,uptime-kuma,77934,6880,JavaScript,116,87900,15.9,RAPID,15.9 dias entre releases
ByteByteGoHq,system-design-101,77752,8439,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
tensorflow,models,77666,45424,Python,50,94900,54.4,NOT_ELIGIBLE,Intervalo inadequado (54.4 dias)
syncthing,syncthing,77368,4821,Go,452,37100,8.2,RAPID,8.2 dias entre releases
fighting41love,funNLP,77014,15053,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
nomic-ai,gpt4all,76864,8294,C++,38,12200,14.8,RAPID,14.8 dias entre releases
hoppscotch,hoppscotch,76809,5400,TypeScript,89,29900,26.1,RAPID,26.1 dias entre releases
anuraghazra,github-readme-stats,76802,26738,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
netdata,netdata,76576,6219,C,125,66800,29.5,RAPID,29.5 dias entre releases
MisterBooo,LeetCodeAnimation,76503,14015,Java,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
vitejs,vite,76371,7438,TypeScript,624,118900,4.4,NOT_ELIGIBLE,Intervalo inadequado (4.4 dias)
FortAwesome,Font-Awesome,75789,12204,JavaScript,62,300,46.1,NOT_ELIGIBLE,Intervalo inadequado (46.1 dias)
elastic,elasticsearch,75371,25596,Java,217,238900,14.6,RAPID,14.6 dias entre releases
typicode,json-server,75295,7238,JavaScript,38,9200,125.7,SLOW,125.7 dias entre releases
hacksider,Deep-Live-Cam,75279,10954,Python,6,0,0,NOT_ELIGIBLE,Poucas releases (6)
Shubhamsaboo,awesome-llm-apps,74960,9823,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
junegunn,fzf,74902,2610,Go,73,30900,24.9,RAPID,24.9 dias entre releases
sdmg15,Best-websites-a-programmer-should-visit,74601,8524,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
coder,code-server,74527,6325,TypeScript,209,27200,14.8,RAPID,14.8 dias entre releases
unionlabs,union,74504,3837,Rust,100,3000,16.8,RAPID,16.8 dias entre releases
punkpeye,awesome-mcp-servers,74307,6221,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
d2l-ai,d2l-zh,73660,11973,Python,16,0,0,NOT_ELIGIBLE,Poucas releases (16)
vuejs,awesome-vue,73354,9478,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
nestjs,nest,73340,8084,TypeScript,133,62600,22.9,RAPID,22.9 dias entre releases
browser-use,browser-use,72159,8560,Python,97,27300,5.1,RAPID,5.1 dias entre releases
ventoy,Ventoy,72143,4556,C,105,12000,19.7,RAPID,19.7 dias entre releases
astral-sh,uv,72017,2196,Rust,228,46900,3.0,NOT_ELIGIBLE,Intervalo inadequado (3.0 dias)
modelcontextprotocol,servers,71985,8638,TypeScript,20,93400,27.4,RAPID,27.4 dias entre releases
CompVis,stable-diffusion,71751,10516,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
thedaviddias,Front-End-Checklist,71635,6594,Unknown,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
redis,redis,71571,24304,C,107,87500,32.2,RAPID,32.2 dias entre releases
swisskyrepo,PayloadsAllTheThings,71421,16178,Python,5,0,0,NOT_ELIGIBLE,Poucas releases (5)
abi,screenshot-to-code,71132,8811,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
moby,moby,71011,18832,Go,247,252200,17.0,RAPID,17.0 dias entre releases
tesseract-ocr,tesseract,70716,10354,C++,34,22600,115.9,SLOW,115.9 dias entre releases
pallets,flask,70708,16610,Python,37,85800,88.4,SLOW,88.4 dias entre releases
grafana,grafana,70671,13148,TypeScript,560,286500,11.3,RAPID,11.3 dias entre releases
enaqx,awesome-react,70642,7459,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Alvin9999,new-pac,70563,10503,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
josephmisiti,awesome-machine-learning,70488,15144,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
strapi,strapi,70256,9245,TypeScript,496,122000,9.2,RAPID,9.2 dias entre releases
awesomedata,awesome-public-datasets,70182,10882,Unknown,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
Developer-Y,cs-video-courses,70131,9422,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
sherlock-project,sherlock,70102,8232,Python,2,0,0,NOT_ELIGIBLE,Poucas releases (2)
localsend,localsend,69870,3734,Dart,24,21800,34.8,RAPID,34.8 dias entre releases
hakimel,reveal.js,69779,16773,JavaScript,49,36000,102.9,SLOW,102.9 dias entre releases
python,cpython,69677,33296,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
binary-husky,gpt_academic,69555,8389,Python,32,11200,24.3,RAPID,24.3 dias entre releases
protocolbuffers,protobuf,69540,15927,C++,199,137400,28.5,RAPID,28.5 dias entre releases
Stirling-Tools,Stirling-PDF,69507,5873,Java,140,27400,8.8,RAPID,8.8 dias entre releases
swiftlang,swift,69248,10571,C++,63,153700,54.5,NOT_ELIGIBLE,Intervalo inadequado (54.5 dias)
zed-industries,zed,69196,5840,Rust,1000,131800,3.5,NOT_ELIGIBLE,Intervalo inadequado (3.5 dias)
ocornut,imgui,69152,11308,C++,116,52100,36.9,NOT_ELIGIBLE,Intervalo inadequado (36.9 dias)
openai,openai-cookbook,69041,11539,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
apache,superset,68813,16109,TypeScript,236,138800,19.6,RAPID,19.6 dias entre releases
PKUFlyingPig,cs-self-learning,68754,7686,HTML,5,0,0,NOT_ELIGIBLE,Poucas releases (5)
base,node,68648,2957,Go,62,7900,17.4,RAPID,17.4 dias entre releases
expressjs,express,68138,21428,JavaScript,160,36500,42.3,NOT_ELIGIBLE,Intervalo inadequado (42.3 dias)
obsproject,obs-studio,67885,8763,C,229,72400,20.1,RAPID,20.1 dias entre releases
caddyserver,caddy,67725,4528,Go,130,35000,31.4,RAPID,31.4 dias entre releases
twitter,the-algorithm,67692,12612,Scala,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
fffaraz,awesome-cpp,67510,8145,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
lobehub,lobe-chat,67459,13933,TypeScript,1000,28800,1.4,NOT_ELIGIBLE,Intervalo inadequado (1.4 dias)
jesseduffield,lazygit,67331,2314,Go,172,37800,24.3,RAPID,24.3 dias entre releases
infiniflow,ragflow,67136,7149,Python,34,37100,18.0,RAPID,18.0 dias entre releases
Eugeny,tabby,67013,3744,TypeScript,202,17300,16.7,RAPID,16.7 dias entre releases
ansible,ansible,66928,24116,Python,183,691400,10.6,RAPID,10.6 dias entre releases
nektos,act,66807,1771,Go,90,21100,31.4,RAPID,31.4 dias entre releases
chartjs,Chart.js,66733,11982,JavaScript,117,52600,40.4,NOT_ELIGIBLE,Intervalo inadequado (40.4 dias)
danielmiessler,SecLists,66727,24750,PHP,29,35000,97.8,SLOW,97.8 dias entre releases
mlabonne,llm-course,66655,7515,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
binhnguyennus,awesome-scalability,66544,6680,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
firecrawl,firecrawl,66435,5195,TypeScript,29,12100,14.4,RAPID,14.4 dias entre releases
AppFlowy-IO,AppFlowy,66336,4700,Dart,117,37400,12.6,RAPID,12.6 dias entre releases
dair-ai,Prompt-Engineering-Guide,66010,6866,MDX,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
leonardomso,33-js-concepts,65908,9194,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
webpack,webpack,65740,9167,JavaScript,440,95600,9.5,RAPID,9.5 dias entre releases
xtekky,gpt4free,65471,13708,Python,368,25900,3.6,NOT_ELIGIBLE,Intervalo inadequado (3.6 dias)
juliangarnier,anime,65156,4363,JavaScript,27,6600,135.0,SLOW,135.0 dias entre releases
lydiahallie,javascript-questions,65060,9206,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
apache,echarts,64953,19780,TypeScript,122,32100,40.5,NOT_ELIGIBLE,Intervalo inadequado (40.5 dias)
OpenHands,OpenHands,64716,7865,Python,90,40200,5.7,RAPID,5.7 dias entre releases
kdn251,interviews,64633,12936,Java,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
kelseyhightower,nocode,64260,4777,Dockerfile,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
prakhar1989,awesome-courses,64204,8263,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
TheAlgorithms,Java,64149,20740,Java,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
labmlai,annotated_deep_learning_paper_implementations,64137,6501,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
scikit-learn,scikit-learn,63921,26403,Python,48,343600,75.4,SLOW,75.4 dias entre releases
chrislgarry,Apollo-11,63812,7356,Assembly,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
sindresorhus,awesome-nodejs,63545,6098,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
bradtraversy,design-resources-for-developers,63538,11893,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
keras-team,keras,63533,19644,Python,82,144300,45.1,NOT_ELIGIBLE,Intervalo inadequado (45.1 dias)
PaddlePaddle,PaddleOCR,62714,9241,Python,26,26700,80.3,SLOW,80.3 dias entre releases
resume,resume.github.com,62677,1361,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
socketio,socket.io,62564,10146,TypeScript,76,55100,50.2,NOT_ELIGIBLE,Intervalo inadequado (50.2 dias)
facebook,docusaurus,62507,9518,TypeScript,154,127400,21.8,RAPID,21.8 dias entre releases
vllm-project,vllm,62140,11045,Python,75,175000,13.0,RAPID,13.0 dias entre releases
FuelLabs,sway,62123,5431,Rust,183,15300,10.2,RAPID,10.2 dias entre releases
hiyouga,LLaMA-Factory,61868,7481,Python,34,22400,22.1,RAPID,22.1 dias entre releases
NationalSecurityAgency,ghidra,61855,6875,Java,46,37800,51.6,NOT_ELIGIBLE,Intervalo inadequado (51.6 dias)
reduxjs,redux,61374,15188,TypeScript,78,105600,61.8,SLOW,61.8 dias entre releases
lodash,lodash,61343,7088,JavaScript,2,0,0,NOT_ELIGIBLE,Poucas releases (2)
localstack,localstack,61341,4298,Python,100,63700,33.0,RAPID,33.0 dias entre releases
prometheus,prometheus,61124,9905,Go,349,126700,11.9,RAPID,11.9 dias entre releases
alacritty,alacritty,60920,3228,Rust,105,46800,28.4,RAPID,28.4 dias entre releases
atom,atom,60844,17321,JavaScript,538,64300,9.1,RAPID,9.1 dias entre releases
openinterpreter,open-interpreter,60785,5212,Python,48,13100,11.2,RAPID,11.2 dias entre releases
