owner,name,stars,forks,language,release_count,contributors,avg_release_interval,release_type,reason
h5bp,Front-end-Developer-Interview-Questions,60677,11109,Nunjucks,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
xingshaocheng,architect-awesome,60511,17799,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
rust-lang,rustlings,60499,10981,Rust,46,46700,56.9,NOT_ELIGIBLE,Intervalo inadequado (56.9 dias)
ryanoasis,nerd-fonts,60339,3830,CSS,38,21100,111.1,SLOW,111.1 dias entre releases
adam-p,markdown-here,60053,11175,JavaScript,17,0,0,NOT_ELIGIBLE,Poucas releases (17)
tldr-pages,tldr,59971,4861,Markdown,6,0,0,NOT_ELIGIBLE,Poucas releases (6)
jquery,jquery,59630,20545,JavaScript,11,0,0,NOT_ELIGIBLE,Poucas releases (11)
gorhill,uBlock,59569,3795,JavaScript,281,12600,16.3,RAPID,16.3 dias entre releases
FoundationAgents,MetaGPT,59207,7194,Python,22,14700,29.4,RAPID,29.4 dias entre releases
toeverything,AFFiNE,59196,4018,TypeScript,629,19000,4.2,NOT_ELIGIBLE,Intervalo inadequado (4.2 dias)
spring-projects,spring-framework,59115,38819,Java,347,120100,29.7,RAPID,29.7 dias entre releases
shadowsocks,shadowsocks-windows,59112,16342,C#,55,8700,48.1,NOT_ELIGIBLE,Intervalo inadequado (48.1 dias)
youngyangyang04,leetcode-master,59002,12237,Shell,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
angular,angular.js,58957,27327,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
meta-llama,llama,58899,9812,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
scrapy,scrapy,58864,11138,Python,43,68800,85.8,SLOW,85.8 dias entre releases
CorentinJ,Real-Time-Voice-Cloning,58764,9371,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
commaai,openpilot,58747,10392,Python,59,70000,48.2,NOT_ELIGIBLE,Intervalo inadequado (48.2 dias)
nuxt,nuxt,58705,5422,TypeScript,266,124300,16.8,RAPID,16.8 dias entre releases
nocodb,nocodb,58587,4331,TypeScript,179,33400,17.6,RAPID,17.6 dias entre releases
minio,minio,57849,6423,Go,521,53200,6.8,RAPID,6.8 dias entre releases
Solido,awesome-flutter,57839,6820,Dart,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
rails,rails,57813,22021,Ruby,159,686000,31.4,RAPID,31.4 dias entre releases
jgraph,drawio-desktop,57697,5480,JavaScript,163,1600,20.2,RAPID,20.2 dias entre releases
traefik,traefik,57519,5545,Go,488,99800,11.0,RAPID,11.0 dias entre releases
FuelLabs,fuel-core,57480,2856,Rust,124,6800,13.0,RAPID,13.0 dias entre releases
h5bp,html5-boilerplate,57242,12309,JavaScript,34,31200,176.4,SLOW,176.4 dias entre releases
git,git,57122,26925,C,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
BurntSushi,ripgrep,57078,2301,Rust,74,45300,89.4,SLOW,89.4 dias entre releases
FiloSottile,mkcert,57054,3001,Go,14,0,0,NOT_ELIGIBLE,Poucas releases (14)
scutan90,DeepLearning-500-questions,56785,15974,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
topjohnwu,Magisk,56776,15817,Rust,153,32900,33.3,RAPID,33.3 dias entre releases
zylon-ai,private-gpt,56766,7596,Python,10,0,0,NOT_ELIGIBLE,Poucas releases (10)
PlexPt,awesome-chatgpt-prompts-zh,56711,13572,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
soimort,you-get,56533,9801,Python,123,26400,34.9,RAPID,34.9 dias entre releases
gatsbyjs,gatsby,55939,10268,JavaScript,156,437100,24.9,RAPID,24.9 dias entre releases
ultralytics,yolov5,55929,17300,Python,10,0,0,NOT_ELIGIBLE,Poucas releases (10)
remix-run,react-router,55827,10755,TypeScript,317,123400,17.8,RAPID,17.8 dias entre releases
azl397985856,leetcode,55696,9479,JavaScript,40,8500,27.6,RAPID,27.6 dias entre releases
ageitgey,face_recognition,55694,13700,Python,2,0,0,NOT_ELIGIBLE,Poucas releases (2)
sharkdp,bat,55689,1398,Rust,42,43300,73.4,SLOW,73.4 dias entre releases
pmndrs,zustand,55545,1844,TypeScript,98,31400,23.3,RAPID,23.3 dias entre releases
unclecode,crawl4ai,55445,5554,Python,10,0,0,NOT_ELIGIBLE,Poucas releases (10)
LadybirdBrowser,ladybird,55188,2447,C++,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
AntonOsika,gpt-engineer,54997,7333,Python,20,10700,21.6,RAPID,21.6 dias entre releases
deepfakes,faceswap,54665,13421,Python,4,0,0,NOT_ELIGIBLE,Poucas releases (4)
TapXWorld,ChinaTextbook,54442,12251,Roff,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
FFmpeg,FFmpeg,54414,13166,C,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
meilisearch,meilisearch,54367,2247,Rust,276,23300,9.1,RAPID,9.1 dias entre releases
golang-standards,project-layout,54321,5409,Makefile,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
wasabeef,awesome-android-ui,54321,10244,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Textualize,rich,54290,1932,Python,171,27700,14.5,RAPID,14.5 dias entre releases
OpenBB-finance,OpenBB,54291,5238,Python,52,25300,29.1,RAPID,29.1 dias entre releases
ElemeFE,element,54244,14587,Vue,145,65800,20.2,RAPID,20.2 dias entre releases
withastro,astro,54225,2949,TypeScript,1000,103300,2.9,NOT_ELIGIBLE,Intervalo inadequado (2.9 dias)
lencx,ChatGPT,54214,6192,Rust,34,3100,11.2,RAPID,11.2 dias entre releases
pi-hole,pi-hole,54089,2905,Shell,121,25900,37.2,NOT_ELIGIBLE,Intervalo inadequado (37.2 dias)
Z4nzu,hackingtool,53950,5878,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
necolas,normalize.css,53632,10507,CSS,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
rust-unofficial,awesome-rust,53593,3060,Rust,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
appwrite,appwrite,53443,4797,TypeScript,117,40900,23.2,RAPID,23.2 dias entre releases
psf,requests,53434,9586,Python,14,0,0,NOT_ELIGIBLE,Poucas releases (14)
rclone,rclone,53357,4755,Go,117,102000,36.9,NOT_ELIGIBLE,Intervalo inadequado (36.9 dias)
maybe-finance,maybe,53348,4564,Ruby,28,12400,17.4,RAPID,17.4 dias entre releases
tiimgreen,github-cheat-sheet,53343,5357,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
wagoodman,dive,52504,1919,Go,28,6800,101.8,SLOW,101.8 dias entre releases
google,material-design-icons,52465,9681,Unknown,16,0,0,NOT_ELIGIBLE,Poucas releases (16)
pocketbase,pocketbase,52430,2800,Go,228,4400,6.1,RAPID,6.1 dias entre releases
facebookresearch,segment-anything,52377,6132,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
marktext,marktext,52208,3835,JavaScript,36,15600,45.0,NOT_ELIGIBLE,Intervalo inadequado (45.0 dias)
mozilla,pdf.js,52183,10502,JavaScript,79,49500,54.0,NOT_ELIGIBLE,Intervalo inadequado (54.0 dias)
ionic-team,ionic-framework,52164,13420,TypeScript,920,52900,8.2,RAPID,8.2 dias entre releases
cline,cline,52104,7629,TypeScript,185,23600,3.6,NOT_ELIGIBLE,Intervalo inadequado (3.6 dias)
RVC-Boss,GPT-SoVITS,52066,5705,Python,4,0,0,NOT_ELIGIBLE,Poucas releases (4)
vuejs,core,52064,8930,TypeScript,249,58400,10.9,RAPID,10.9 dias entre releases
starship,starship,52044,2278,Rust,136,63900,23.7,RAPID,23.7 dias entre releases
laurent22,joplin,52016,5585,TypeScript,391,72400,8.3,RAPID,8.3 dias entre releases
Asabeneh,30-Days-Of-Python,51972,9934,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
go-gitea,gitea,51823,6188,Go,221,167600,16.1,RAPID,16.1 dias entre releases
ngosang,trackerslist,51772,6677,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
sickcodes,Docker-OSX,51677,2867,Shell,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
JetBrains,kotlin,51556,6080,Kotlin,273,110100,17.0,RAPID,17.0 dias entre releases
romkatv,powerlevel10k,51503,2369,Shell,33,31000,56.0,NOT_ELIGIBLE,Intervalo inadequado (56.0 dias)
microsoft,autogen,51428,7828,Python,98,53200,7.7,RAPID,7.7 dias entre releases
google,guava,51241,11084,Java,57,47000,64.9,SLOW,64.9 dias entre releases
firstcontributions,first-contributions,51196,93770,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Semantic-Org,Semantic-UI,51190,4918,JavaScript,154,23600,30.1,RAPID,30.1 dias entre releases
prettier,prettier,51153,4603,JavaScript,127,78100,28.5,RAPID,28.5 dias entre releases
TryGhost,Ghost,51122,11142,JavaScript,920,79300,5.6,RAPID,5.6 dias entre releases
jekyll,jekyll,51051,10228,Ruby,112,124800,42.3,NOT_ELIGIBLE,Intervalo inadequado (42.3 dias)
WerWolv,ImHex,50964,2254,C++,80,17200,27.8,RAPID,27.8 dias entre releases
Mintplex-Labs,anything-llm,50726,5351,JavaScript,21,16300,21.7,RAPID,21.7 dias entre releases
etcd-io,etcd,50704,10205,Go,263,113500,22.5,RAPID,22.5 dias entre releases
PowerShell,PowerShell,50689,8054,C#,191,54100,23.5,RAPID,23.5 dias entre releases
FoundationAgents,OpenManus,50672,8846,Python,3,0,0,NOT_ELIGIBLE,Poucas releases (3)
DefinitelyTyped,DefinitelyTyped,50584,30518,TypeScript,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
xai-org,grok-1,50554,8371,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
dani-garcia,vaultwarden,50529,2361,Rust,73,17000,36.3,NOT_ELIGIBLE,Intervalo inadequado (36.3 dias)
vsouza,awesome-ios,50315,6929,Swift,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
chinese-poetry,chinese-poetry,50293,10129,JavaScript,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
ethereum,go-ethereum,50224,21505,Go,224,117500,19.3,RAPID,19.3 dias entre releases
poteto,hiring-without-whiteboards,50145,3876,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
jgthms,bulma,49981,3937,CSS,22,43000,136.8,SLOW,136.8 dias entre releases
openai,codex,49841,6156,Rust,223,21200,2.4,NOT_ELIGIBLE,Intervalo inadequado (2.4 dias)
charlax,professional-programming,49707,3919,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
agalwood,Motrix,49679,4744,JavaScript,21,7300,112.2,SLOW,112.2 dias entre releases
justjavac,awesome-wechat-weapp,49463,8941,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
cypress-io,cypress,49403,3367,TypeScript,379,53000,11.6,RAPID,11.6 dias entre releases
pathwaycom,pathway,49293,1442,Python,79,3100,10.2,RAPID,10.2 dias entre releases
NARKOZ,hacker-scripts,49215,6683,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
mastodon,mastodon,49196,7338,Ruby,305,107000,16.9,RAPID,16.9 dias entre releases
karpathy,nanoGPT,48974,8201,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Avik-Jain,100-Days-Of-ML-Code,48652,11175,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
AlistGo,alist,48487,8006,Go,140,18000,14.3,RAPID,14.3 dias entre releases
ReactiveX,RxJava,48426,7610,Java,243,33700,20.5,RAPID,20.5 dias entre releases
iamkun,dayjs,48350,2385,JavaScript,125,34900,30.7,RAPID,30.7 dias entre releases
ultralytics,ultralytics,48303,9312,Python,299,30900,4.1,NOT_ELIGIBLE,Intervalo inadequado (4.1 dias)
dockur,windows,48250,3619,Shell,117,2700,6.2,RAPID,6.2 dias entre releases
opendatalab,MinerU,48151,3975,Python,132,8500,7.0,RAPID,7.0 dias entre releases
moment,moment,48082,7044,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
algorithm-visualizer,algorithm-visualizer,47980,7482,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
JuliaLang,julia,47934,5671,Julia,186,184900,24.7,RAPID,24.7 dias entre releases
unslothai,unsloth,47934,3918,Python,20,9700,24.7,RAPID,24.7 dias entre releases
huginn,huginn,47888,4154,Ruby,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
nlohmann,json,47792,7199,C++,45,34500,84.0,SLOW,84.0 dias entre releases
typst,typst,47774,1297,Rust,25,38800,40.6,NOT_ELIGIBLE,Intervalo inadequado (40.6 dias)
harry0703,MoneyPrinterTurbo,47542,6638,Python,9,0,0,NOT_ELIGIBLE,Poucas releases (9)
minimaxir,big-list-of-naughty-strings,47475,2160,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
jesseduffield,lazydocker,47383,1485,Go,42,8500,73.0,SLOW,73.0 dias entre releases
TanStack,query,47271,3543,TypeScript,1000,100000,3.2,NOT_ELIGIBLE,Intervalo inadequado (3.2 dias)
dkhamsing,open-source-ios-apps,47251,5649,Unknown,37,40300,73.2,SLOW,73.2 dias entre releases
x64dbg,x64dbg,47159,2622,C++,4,0,0,NOT_ELIGIBLE,Poucas releases (4)
gogs,gogs,47153,5055,Go,84,56000,60.5,SLOW,60.5 dias entre releases
odoo,odoo,47071,30294,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
pandas-dev,pandas,47030,19243,Python,113,403600,38.8,NOT_ELIGIBLE,Intervalo inadequado (38.8 dias)
hashicorp,terraform,47027,10103,Go,391,230400,10.3,RAPID,10.3 dias entre releases
karan,Projects,47023,10687,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
kamranahmedse,design-patterns-for-humans,47006,5462,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
lyswhut,lx-music-desktop,46974,6486,TypeScript,110,1500,26.8,RAPID,26.8 dias entre releases
lllyasviel,Fooocus,46967,7587,Python,21,5900,20.9,RAPID,20.9 dias entre releases
coollabsio,coolify,46945,3121,PHP,642,53900,5.6,RAPID,5.6 dias entre releases
type-challenges,type-challenges,46909,5129,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
serverless,serverless,46890,5743,JavaScript,464,123000,10.3,RAPID,10.3 dias entre releases
typescript-cheatsheets,react,46752,4263,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
square,okhttp,46723,9251,Kotlin,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
v2ray,v2ray-core,46649,8904,Go,247,9800,8.7,RAPID,8.7 dias entre releases
2dust,v2rayNG,46624,6556,Kotlin,263,6500,12.3,RAPID,12.3 dias entre releases
termux,termux-app,46608,5414,Java,95,8500,40.6,NOT_ELIGIBLE,Intervalo inadequado (40.6 dias)
pathwaycom,llm-app,46532,1201,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
bigskysoftware,htmx,46434,1535,JavaScript,27,44700,45.6,NOT_ELIGIBLE,Intervalo inadequado (45.6 dias)
slab,quill,46404,3589,TypeScript,95,16100,45.4,NOT_ELIGIBLE,Intervalo inadequado (45.4 dias)
FlowiseAI,Flowise,46299,23003,TypeScript,76,26800,12.0,RAPID,12.0 dias entre releases
kelseyhightower,kubernetes-the-hard-way,46265,15273,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
serhii-londar,open-source-mac-os-apps,46136,2427,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
ziishaned,learn-regex,46132,6246,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
dbeaver,dbeaver,46067,3892,Java,235,41900,15.2,RAPID,15.2 dias entre releases
skylot,jadx,46028,5319,Java,32,14700,143.6,SLOW,143.6 dias entre releases
pixijs,pixijs,45993,4914,TypeScript,297,58400,16.6,RAPID,16.6 dias entre releases
brillout,awesome-react-components,45977,3651,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
jakevdp,PythonDataScienceHandbook,45942,18586,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
usememos,memos,45731,3267,Go,82,31400,15.0,RAPID,15.0 dias entre releases
akullpp,awesome-java,45558,7560,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Asabeneh,30-Days-Of-JavaScript,45555,10365,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
discourse,discourse,45498,8704,Ruby,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
jellyfin,jellyfin,45420,4100,C#,98,157800,27.4,RAPID,27.4 dias entre releases
android,architecture-samples,45381,11819,Kotlin,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
oobabooga,text-generation-webui,45324,5818,Python,85,37600,12.4,RAPID,12.4 dias entre releases
Homebrew,brew,45324,10623,Ruby,457,127800,7.4,RAPID,7.4 dias entre releases
github,spec-kit,45294,3884,Shell,79,6500,2.2,NOT_ELIGIBLE,Intervalo inadequado (2.2 dias)
dypsilon,frontend-dev-bookmarks,45259,5153,Unknown,1,0,0,NOT_ELIGIBLE,Poucas releases (1)
jestjs,jest,45127,6613,TypeScript,213,172400,21.2,RAPID,21.2 dias entre releases
ColorlibHQ,AdminLTE,45124,18257,CSS,77,11900,64.7,SLOW,64.7 dias entre releases
run-llama,llama_index,45087,6499,Python,418,176300,2.5,NOT_ELIGIBLE,Intervalo inadequado (2.5 dias)
1c7,chinese-independent-developer,45008,3788,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
google,zx,44788,1176,JavaScript,100,6400,19.3,RAPID,19.3 dias entre releases
meteor,meteor,44748,5263,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
LeCoupa,awesome-cheatsheets,44679,6606,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
expo,expo,44661,9654,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
DovAmir,awesome-design-patterns,44641,3141,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
microsoft,monaco-editor,44507,3902,JavaScript,163,32200,22.0,RAPID,22.0 dias entre releases
vercel,hyper,44482,3541,TypeScript,88,28700,41.3,NOT_ELIGIBLE,Intervalo inadequado (41.3 dias)
acmesh-official,acme.sh,44454,5396,Shell,44,65800,78.2,SLOW,78.2 dias entre releases
metabase,metabase,44439,5995,Clojure,694,47900,9.5,RAPID,9.5 dias entre releases
isocpp,CppCoreGuidelines,44369,5524,CSS,4,0,0,NOT_ELIGIBLE,Poucas releases (4)
freqtrade,freqtrade,44330,9076,Python,104,37300,29.7,RAPID,29.7 dias entre releases
ggml-org,whisper.cpp,44272,4891,C++,30,64800,35.1,NOT_ELIGIBLE,Intervalo inadequado (35.1 dias)
jeecgboot,JeecgBoot,44242,15635,Java,64,3200,37.6,NOT_ELIGIBLE,Intervalo inadequado (37.6 dias)
prisma,prisma,44234,1907,TypeScript,232,32500,10.5,RAPID,10.5 dias entre releases
GokuMohandas,Made-With-ML,44151,6866,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
react-hook-form,react-hook-form,44111,2319,TypeScript,590,36600,5.5,RAPID,5.5 dias entre releases
astaxie,build-web-application-with-golang,44043,10574,Go,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
parcel-bundler,parcel,43998,2270,JavaScript,50,43100,42.2,NOT_ELIGIBLE,Intervalo inadequado (42.2 dias)
microsoft,ai-agents-for-beginners,43929,14821,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
grpc,grpc,43915,10969,C++,360,111400,12.0,RAPID,12.0 dias entre releases
Leaflet,Leaflet,43888,6018,JavaScript,34,101400,117.8,SLOW,117.8 dias entre releases
ClickHouse,ClickHouse,43818,7788,C++,701,262200,5.1,RAPID,5.1 dias entre releases
RocketChat,Rocket.Chat,43787,12386,TypeScript,1000,104100,5.0,RAPID,5.0 dias entre releases
babel,babel,43785,5776,TypeScript,446,123900,10.6,RAPID,10.6 dias entre releases
square,retrofit,43781,7345,HTML,4,0,0,NOT_ELIGIBLE,Poucas releases (4)
aymericdamien,TensorFlow-Examples,43754,14843,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
streamich,react-use,43704,3275,TypeScript,256,19600,16.3,RAPID,16.3 dias entre releases
tldraw,tldraw,43666,2826,TypeScript,92,20700,12.2,RAPID,12.2 dias entre releases
yangshun,front-end-interview-handbook,43658,5950,MDX,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
microsoft,AI-For-Beginners,43592,8572,Jupyter Notebook,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
astral-sh,ruff,43573,1600,Rust,386,74500,4.9,NOT_ELIGIBLE,Intervalo inadequado (4.9 dias)
pyenv,pyenv,43569,3217,Roff,137,46600,23.8,RAPID,23.8 dias entre releases
GitSquared,edex-ui,43558,2886,JavaScript,29,6300,55.6,NOT_ELIGIBLE,Intervalo inadequado (55.6 dias)
FuelLabs,fuels-rs,43552,1361,Rust,120,5500,13.0,RAPID,13.0 dias entre releases
coreybutler,nvm-windows,43537,3654,Go,23,8900,187.2,SLOW,187.2 dias entre releases
FuelLabs,fuels-ts,43535,1370,TypeScript,155,6300,9.8,RAPID,9.8 dias entre releases
sudheerj,reactjs-interview-questions,43432,10149,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
cloudcommunity,Free-Certifications,43316,2901,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
coqui-ai,TTS,43313,5731,Python,98,16600,13.0,RAPID,13.0 dias entre releases
NaiboWang,EasySpider,43299,5322,JavaScript,10,0,0,NOT_ELIGIBLE,Poucas releases (10)
OpenCut-app,OpenCut,43286,4114,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
tw93,Pake,43252,8287,Rust,35,5200,38.9,NOT_ELIGIBLE,Intervalo inadequado (38.9 dias)
apache,airflow,43073,15898,Python,107,396200,35.7,NOT_ELIGIBLE,Intervalo inadequado (35.7 dias)
docling-project,docling,43060,3083,Python,134,14000,4.3,NOT_ELIGIBLE,Intervalo inadequado (4.3 dias)
bevyengine,bevy,42949,4208,Rust,48,142400,39.6,NOT_ELIGIBLE,Intervalo inadequado (39.6 dias)
GitHubDaily,GitHubDaily,42795,4344,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
mem0ai,mem0,42709,4602,Python,269,24700,4.6,NOT_ELIGIBLE,Intervalo inadequado (4.6 dias)
Unitech,pm2,42692,2663,JavaScript,133,33000,34.5,RAPID,34.5 dias entre releases
iina,iina,42504,2705,Swift,47,15300,70.4,SLOW,70.4 dias entre releases
k88hudson,git-flight-rules,42443,3203,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
alex,what-happens-when,42427,5719,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
getsentry,sentry,42371,4501,Python,156,99400,26.1,RAPID,26.1 dias entre releases
ChrisTitusTech,winutil,42370,2258,PowerShell,25,10800,20.2,RAPID,20.2 dias entre releases
Light-City,CPlusPlusThings,42366,8800,C++,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
faif,python-patterns,42363,7055,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
AykutSarac,jsoncrack.com,42354,3039,TypeScript,22,3800,59.4,NOT_ELIGIBLE,Intervalo inadequado (59.4 dias)
spf13,cobra,42331,3017,Go,26,32000,130.2,SLOW,130.2 dias entre releases
docker,awesome-compose,42238,7813,HTML,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
apache,spark,42228,28917,Scala,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
KRTirtho,spotube,42220,1861,Dart,41,8900,41.4,NOT_ELIGIBLE,Intervalo inadequado (41.4 dias)
virattt,ai-hedge-fund,42213,7469,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
SimplifyJobs,Summer2026-Internships,42205,3101,Unknown,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
Alamofire,Alamofire,42205,7639,Swift,102,28200,40.3,NOT_ELIGIBLE,Intervalo inadequado (40.3 dias)
Kong,kong,42117,5011,Lua,145,44200,27.0,RAPID,27.0 dias entre releases
streamlit,streamlit,42081,3859,Python,109,30000,16.4,RAPID,16.4 dias entre releases
ziglang,zig,42016,3091,Zig,21,131800,150.2,SLOW,150.2 dias entre releases
Stability-AI,stablediffusion,41944,5336,Python,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
mingrammer,diagrams,41691,2691,Python,44,17400,48.3,NOT_ELIGIBLE,Intervalo inadequado (48.3 dias)
apachecn,ailearning,41669,11597,Python,2,0,0,NOT_ELIGIBLE,Poucas releases (2)
zhongyang219,TrafficMonitor,41638,3522,C++,26,4400,103.4,SLOW,103.4 dias entre releases
apache,dubbo,41562,26546,Java,112,66800,43.0,NOT_ELIGIBLE,Intervalo inadequado (43.0 dias)
nolimits4web,swiper,41547,9728,JavaScript,91,35300,19.3,RAPID,19.3 dias entre releases
yarnpkg,yarn,41540,2733,JavaScript,152,53600,25.3,RAPID,25.3 dias entre releases
anthropics,claude-code,41446,2711,TypeScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
nwjs,nw.js,41430,3879,JavaScript,0,0,0,NOT_ELIGIBLE,Poucas releases (0)
