owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
AirtestProject,Airtest,8988,1380,Python,24,6100,67,SLOW,67 dias (mediana) entre releases
dr5hn,countries-states-cities-database,8954,2903,Python,27,7500,61,SLOW,61 dias (mediana) entre releases
pyro-ppl,pyro,8912,1006,Python,35,16100,64,SLOW,64 dias (mediana) entre releases
NopeCHALLC,nopecha-extension,8905,141,JavaScript,24,400,194.0,SLOW,194.0 dias (mediana) entre releases
flowable,flowable-engine,8876,2766,Java,28,38800,73,SLOW,73 dias (mediana) entre releases
myclabs,DeepCopy,8875,108,PHP,38,3600,119,SLOW,119 dias (mediana) entre releases
hashicorp,raft,8827,1044,Go,26,12700,58.0,SLOW,58.0 dias (mediana) entre releases
mozilla,nunjucks,8823,647,JavaScript,36,15700,59.5,SLOW,59.5 dias (mediana) entre releases
NVIDIA,cutlass,8785,1529,C++,43,22700,58,SLOW,58 dias (mediana) entre releases
kivy,python-for-android,8782,1998,Python,20,26800,104,SLOW,104 dias (mediana) entre releases
jorgebucaran,fisher,8782,277,Shell,62,7400,52,SLOW,52 dias (mediana) entre releases
dessant,buster,8772,651,JavaScript,20,200,63,SLOW,63 dias (mediana) entre releases
testssl,testssl.sh,8691,1105,Shell,31,15100,110.0,SLOW,110.0 dias (mediana) entre releases
golang-jwt,jwt,8666,420,Go,22,11500,56.0,SLOW,56.0 dias (mediana) entre releases
async-profiler,async-profiler,8640,942,C++,35,7400,58,SLOW,58 dias (mediana) entre releases
veracrypt,VeraCrypt,8635,1098,C,36,11500,56.0,SLOW,56.0 dias (mediana) entre releases
VowpalWabbit,vowpal_wabbit,8615,1932,C++,30,33700,63,SLOW,63 dias (mediana) entre releases
unicorn-engine,unicorn,8582,1450,C,29,25700,59.0,SLOW,59.0 dias (mediana) entre releases
jonobr1,two.js,8555,463,JavaScript,38,6200,69.5,SLOW,69.5 dias (mediana) entre releases
pillarjs,path-to-regexp,8522,446,TypeScript,30,3900,54.5,SLOW,54.5 dias (mediana) entre releases
phpspec,prophecy,8505,244,PHP,47,13300,82.0,SLOW,82.0 dias (mediana) entre releases
google,tsunami-security-scanner,8478,920,Java,27,3300,62,SLOW,62 dias (mediana) entre releases
intel,ipex-llm,8456,1385,Python,22,11900,108.0,SLOW,108.0 dias (mediana) entre releases
Nevcairiel,LAVFilters,8452,818,C++,34,2100,109.5,SLOW,109.5 dias (mediana) entre releases
NVIDIA,cuda-samples,8448,2180,C,26,1500,100.5,SLOW,100.5 dias (mediana) entre releases
RSS-Bridge,rss-bridge,8446,1174,PHP,37,36800,51.5,SLOW,51.5 dias (mediana) entre releases
mopidy,mopidy,8404,699,Python,20,14400,96.0,SLOW,96.0 dias (mediana) entre releases
hs-web,hsweb-framework,8397,3044,Java,32,3200,84,SLOW,84 dias (mediana) entre releases
delta-io,delta,8396,1955,Scala,31,41300,62,SLOW,62 dias (mediana) entre releases
django-commons,django-debug-toolbar,8306,1069,Python,30,31700,60.0,SLOW,60.0 dias (mediana) entre releases
givanz,VvvebJs,8282,1802,JavaScript,23,900,51.5,SLOW,51.5 dias (mediana) entre releases
microsoft,cpprestsdk,8235,1694,C++,32,18300,65,SLOW,65 dias (mediana) entre releases
kishikawakatsumi,KeychainAccess,8206,825,Swift,31,3600,57.5,SLOW,57.5 dias (mediana) entre releases
vi,websocat,8139,312,Rust,26,2300,118.5,SLOW,118.5 dias (mediana) entre releases
vinceliuice,WhiteSur-gtk-theme,8082,691,CSS,21,4400,62.0,SLOW,62.0 dias (mediana) entre releases
mde,ejs,8045,856,JavaScript,38,16300,72.0,SLOW,72.0 dias (mediana) entre releases
omniauth,omniauth,8029,983,Ruby,25,21900,106.5,SLOW,106.5 dias (mediana) entre releases
amethyst,amethyst,8021,736,Rust,24,35800,78.5,SLOW,78.5 dias (mediana) entre releases
allegro,bigcache,8005,605,Go,23,6600,58.5,SLOW,58.5 dias (mediana) entre releases
librosa,librosa,8000,1014,Python,46,12500,81.5,SLOW,81.5 dias (mediana) entre releases
lmcinnes,umap,7999,856,Python,34,14300,52,SLOW,52 dias (mediana) entre releases
opencart,opencart,7946,5009,PHP,35,49000,68,SLOW,68 dias (mediana) entre releases
OrchardCMS,OrchardCore,7936,2533,C#,37,32200,52.5,SLOW,52.5 dias (mediana) entre releases
SwiftUIX,SwiftUIX,7910,485,Swift,23,6200,61.5,SLOW,61.5 dias (mediana) entre releases
nodemcu,nodemcu-firmware,7851,3132,C,32,19600,81.0,SLOW,81.0 dias (mediana) entre releases
fatih,color,7800,631,Go,23,3900,116.5,SLOW,116.5 dias (mediana) entre releases
serilog,serilog,7780,841,C#,25,14600,137,SLOW,137 dias (mediana) entre releases
predis,predis,7734,994,PHP,57,11700,54.0,SLOW,54.0 dias (mediana) entre releases
PrivateBin,PrivateBin,7729,934,PHP,40,16700,66.0,SLOW,66.0 dias (mediana) entre releases
kelektiv,node.bcrypt.js,7726,539,C++,22,8600,76,SLOW,76 dias (mediana) entre releases
visualfc,liteide,7720,981,C++,32,10100,63.0,SLOW,63.0 dias (mediana) entre releases
pwr-Solaar,Solaar,7704,476,Python,37,19500,55,SLOW,55 dias (mediana) entre releases
dataarts,dat.gui,7701,1073,JavaScript,20,4500,84.5,SLOW,84.5 dias (mediana) entre releases
trello-archive,RxLifecycle,7689,639,Java,22,2100,69,SLOW,69 dias (mediana) entre releases
MagicStack,asyncpg,7683,434,Python,31,9700,84,SLOW,84 dias (mediana) entre releases
WebAssembly,wabt,7671,777,C++,39,14800,71,SLOW,71 dias (mediana) entre releases
stanfordnlp,stanza,7652,927,Python,29,7100,78,SLOW,78 dias (mediana) entre releases
PureLayout,PureLayout,7617,735,Objective-C,21,4000,57.5,SLOW,57.5 dias (mediana) entre releases
metafizzy,flickity,7592,602,JavaScript,24,1700,74,SLOW,74 dias (mediana) entre releases
open-cli-tools,concurrently,7561,250,TypeScript,62,8100,50.5,SLOW,50.5 dias (mediana) entre releases
mapstruct,mapstruct,7551,1011,Java,35,16200,73,SLOW,73 dias (mediana) entre releases
zsh-users,zsh-completions,7535,728,Shell,24,30000,62.5,SLOW,62.5 dias (mediana) entre releases
ElectronNET,Electron.NET,7525,738,C#,22,8700,91,SLOW,91 dias (mediana) entre releases
PHPOffice,PHPWord,7506,2736,PHP,26,22900,196.0,SLOW,196.0 dias (mediana) entre releases
PyCQA,bandit,7472,706,Python,24,18900,51,SLOW,51 dias (mediana) entre releases
oldratlee,useful-scripts,7471,2808,Shell,30,1500,54,SLOW,54 dias (mediana) entre releases
Project-MONAI,MONAI,7449,1339,Python,22,23900,78,SLOW,78 dias (mediana) entre releases
mozilla,geckodriver,7429,1535,Unknown,46,1800,66,SLOW,66 dias (mediana) entre releases
laravel,tinker,7409,133,PHP,29,3500,70,SLOW,70 dias (mediana) entre releases
google,jsonnet,7395,469,Jsonnet,38,15400,101.0,SLOW,101.0 dias (mediana) entre releases
mumble-voip,mumble,7370,1253,C++,46,39400,62,SLOW,62 dias (mediana) entre releases
fontforge,fontforge,7358,761,C,22,22400,109,SLOW,109 dias (mediana) entre releases
mvdctop,Movie_Data_Capture,7351,1404,Python,49,300,129.5,SLOW,129.5 dias (mediana) entre releases
technomancy,leiningen,7298,1590,Clojure,33,46200,57,SLOW,57 dias (mediana) entre releases
hybridgroup,gocv,7288,898,Go,46,17500,61,SLOW,61 dias (mediana) entre releases
python-visualization,folium,7269,2257,Python,38,17500,87,SLOW,87 dias (mediana) entre releases
tabulapdf,tabula,7249,682,CSS,20,4400,114,SLOW,114 dias (mediana) entre releases
jepsen-io,jepsen,7205,737,Clojure,31,13300,90,SLOW,90 dias (mediana) entre releases
barryvdh,laravel-dompdf,7154,980,PHP,30,5600,111,SLOW,111 dias (mediana) entre releases
OpenMathLib,OpenBLAS,7103,1610,C,45,39300,78.5,SLOW,78.5 dias (mediana) entre releases
scikit-learn-contrib,imbalanced-learn,7060,1322,Python,40,8800,76,SLOW,76 dias (mediana) entre releases
jspreadsheet,ce,7053,884,JavaScript,24,8700,64.0,SLOW,64.0 dias (mediana) entre releases
youki-dev,youki,7052,389,Rust,21,13800,68.0,SLOW,68.0 dias (mediana) entre releases
libfuse,sshfs,7048,528,C,22,6000,112.0,SLOW,112.0 dias (mediana) entre releases
google,draco,7027,1020,C++,26,7200,57,SLOW,57 dias (mediana) entre releases
google,gops,6983,337,Go,27,4500,62.0,SLOW,62.0 dias (mediana) entre releases
quartznet,quartznet,6938,1726,C#,65,18800,76.5,SLOW,76.5 dias (mediana) entre releases
PixarAnimationStudios,OpenUSD,6935,1356,C++,49,29000,73.5,SLOW,73.5 dias (mediana) entre releases
maharmstone,btrfs,6924,271,C,28,1900,77.5,SLOW,77.5 dias (mediana) entre releases
zeux,meshoptimizer,6907,581,C++,21,4200,139.0,SLOW,139.0 dias (mediana) entre releases
Wandmalfarbe,pandoc-latex-template,6903,998,Shell,25,3600,65.0,SLOW,65.0 dias (mediana) entre releases
HubSpot,vex,6902,488,CSS,21,3300,62,SLOW,62 dias (mediana) entre releases
jarun,buku,6899,307,Python,43,8000,52.5,SLOW,52.5 dias (mediana) entre releases
facebookarchive,xctool,6896,732,Objective-C,28,11000,61.0,SLOW,61.0 dias (mediana) entre releases
wxWidgets,wxWidgets,6896,1862,C++,80,60800,93,SLOW,93 dias (mediana) entre releases
tidyverse,ggplot2,6824,2113,R,28,36500,129,SLOW,129 dias (mediana) entre releases
chillzhuang,SpringBlade,6815,1379,PLpgSQL,22,100,84.5,SLOW,84.5 dias (mediana) entre releases
pdfminer,pdfminer.six,6782,1013,Python,24,15300,55,SLOW,55 dias (mediana) entre releases
Angel-ML,angel,6780,1590,Java,20,8100,59,SLOW,59 dias (mediana) entre releases
mahmoud,boltons,6774,375,Python,23,9300,77.5,SLOW,77.5 dias (mediana) entre releases
doctrine,annotations,6745,232,PHP,38,19900,80,SLOW,80 dias (mediana) entre releases
onionshare,onionshare,6744,689,Python,35,28600,80.5,SLOW,80.5 dias (mediana) entre releases
sj26,mailcatcher,6698,596,Ruby,22,5800,101.0,SLOW,101.0 dias (mediana) entre releases
hedgedoc,hedgedoc,6677,500,TypeScript,35,3500,62,SLOW,62 dias (mediana) entre releases
HaxeFoundation,haxe,6671,689,Haxe,71,24500,70.0,SLOW,70.0 dias (mediana) entre releases
grpc-ecosystem,go-grpc-middleware,6661,740,Go,25,17000,69.5,SLOW,69.5 dias (mediana) entre releases
traccar,traccar,6647,3010,Java,64,22800,62,SLOW,62 dias (mediana) entre releases
flarum,framework,6634,861,PHP,54,19900,52,SLOW,52 dias (mediana) entre releases
TigerVNC,tigervnc,6611,1097,C++,33,15700,65.0,SLOW,65.0 dias (mediana) entre releases
btcsuite,btcd,6607,2502,Go,27,25000,78,SLOW,78 dias (mediana) entre releases
php-pm,php-pm,6564,371,PHP,21,7500,63,SLOW,63 dias (mediana) entre releases
mgba-emu,mgba,6557,890,C,40,21600,86,SLOW,86 dias (mediana) entre releases
mitre,caldera,6544,1263,Python,34,12900,57,SLOW,57 dias (mediana) entre releases
brython-dev,brython,6527,525,Python,78,12400,53,SLOW,53 dias (mediana) entre releases
FlaxEngine,FlaxEngine,6497,636,C#,22,9100,58,SLOW,58 dias (mediana) entre releases
lballabio,QuantLib,6474,2052,C++,54,25100,91,SLOW,91 dias (mediana) entre releases
logisim-evolution,logisim-evolution,6464,815,Java,31,13400,55.0,SLOW,55.0 dias (mediana) entre releases
peazip,PeaZip,6463,351,Pascal,88,3700,56,SLOW,56 dias (mediana) entre releases
EsotericSoftware,kryo,6441,842,HTML,35,9500,82.0,SLOW,82.0 dias (mediana) entre releases
halide,Halide,6432,1092,C++,24,28400,76,SLOW,76 dias (mediana) entre releases
uxlfoundation,oneTBB,6423,1142,C++,58,12500,69.0,SLOW,69.0 dias (mediana) entre releases
neutrinolabs,xrdp,6392,1730,C,43,13600,88,SLOW,88 dias (mediana) entre releases
danmar,cppcheck,6390,1532,C++,43,51800,78.0,SLOW,78.0 dias (mediana) entre releases
bookshelf,bookshelf,6367,577,JavaScript,20,18100,69,SLOW,69 dias (mediana) entre releases
deepchem,deepchem,6331,1936,Python,20,25700,138,SLOW,138 dias (mediana) entre releases
pytransitions,transitions,6301,558,Python,33,7900,64.0,SLOW,64.0 dias (mediana) entre releases
haifengl,smile,6295,1149,Java,36,7100,77,SLOW,77 dias (mediana) entre releases
apache,flink-cdc,6265,2096,Java,23,20100,53.5,SLOW,53.5 dias (mediana) entre releases
madmaze,pytesseract,6260,746,Python,26,4600,54,SLOW,54 dias (mediana) entre releases
Mbed-TLS,mbedtls,6257,2793,C,74,40600,76.5,SLOW,76.5 dias (mediana) entre releases
chaosblade-io,chaosblade,6243,970,Go,28,4900,64,SLOW,64 dias (mediana) entre releases
jetlinks,jetlinks-community,6230,1807,Java,21,2600,59.5,SLOW,59.5 dias (mediana) entre releases
pre-commit,pre-commit-hooks,6171,763,Python,36,11700,77.5,SLOW,77.5 dias (mediana) entre releases
boa-dev,boa,6168,470,Rust,26,20700,73,SLOW,73 dias (mediana) entre releases
redux-offline,redux-offline,6148,396,JavaScript,23,5800,54,SLOW,54 dias (mediana) entre releases
aisingapore,TagUI,6145,631,JavaScript,23,2100,52.0,SLOW,52.0 dias (mediana) entre releases
mledoze,countries,6131,1276,PHP,27,13200,83.5,SLOW,83.5 dias (mediana) entre releases
AFLplusplus,AFLplusplus,6085,1187,C,39,33500,53.0,SLOW,53.0 dias (mediana) entre releases
mixxxdj,mixxx,6076,1510,C++,29,40700,75.0,SLOW,75.0 dias (mediana) entre releases
newmarcel,KeepingYouAwake,6072,239,Objective-C,45,3700,54.5,SLOW,54.5 dias (mediana) entre releases
nissl-lab,npoi,6068,1482,C#,20,17000,129,SLOW,129 dias (mediana) entre releases
OpenMW,openmw,6058,990,C++,37,46300,53,SLOW,53 dias (mediana) entre releases
pallets-eco,flask-admin,6039,1625,Python,28,38300,113.5,SLOW,113.5 dias (mediana) entre releases
ocaml,ocaml,6025,1187,OCaml,39,46400,101.5,SLOW,101.5 dias (mediana) entre releases
tailwindlabs,tailwindcss-typography,6022,310,JavaScript,30,3900,61.0,SLOW,61.0 dias (mediana) entre releases
apache,hudi,6019,2440,Java,31,54100,68.5,SLOW,68.5 dias (mediana) entre releases
tealeg,xlsx,6002,822,Go,27,15700,59,SLOW,59 dias (mediana) entre releases
thoughtbot,administrate,5994,1139,JavaScript,33,29800,66,SLOW,66 dias (mediana) entre releases
github,markup,5990,3390,Ruby,21,11200,106.5,SLOW,106.5 dias (mediana) entre releases
contribsys,faktory,5979,236,Go,31,5300,67,SLOW,67 dias (mediana) entre releases
google,google-java-format,5974,903,Java,39,10400,65,SLOW,65 dias (mediana) entre releases
btraceio,btrace,5971,964,Java,33,3200,75.0,SLOW,75.0 dias (mediana) entre releases
cowrie,cowrie,5971,985,Python,23,16500,177,SLOW,177 dias (mediana) entre releases
doctrine,collections,5960,189,PHP,31,10700,59.5,SLOW,59.5 dias (mediana) entre releases
apache,pinot,5948,1428,Java,23,44600,112,SLOW,112 dias (mediana) entre releases
airbnb,mavericks,5932,510,Kotlin,36,7000,50.5,SLOW,50.5 dias (mediana) entre releases
cisco,openh264,5923,1861,C++,20,16700,191,SLOW,191 dias (mediana) entre releases
graphql-rust,juniper,5908,441,Rust,40,16000,77,SLOW,77 dias (mediana) entre releases
weibocom,motan,5903,1763,Java,28,5100,109,SLOW,109 dias (mediana) entre releases
Respect,Validation,5896,775,PHP,36,19000,55,SLOW,55 dias (mediana) entre releases
zhongyang219,MusicPlayer2,5893,456,C++,25,900,76.5,SLOW,76.5 dias (mediana) entre releases
JackJiang2011,MobileIMSDK,5883,1352,Objective-C,40,300,65.5,SLOW,65.5 dias (mediana) entre releases
angular,flex-layout,5865,760,TypeScript,27,5700,62,SLOW,62 dias (mediana) entre releases
JSQLParser,JSqlParser,5854,1408,Java,37,17100,108.5,SLOW,108.5 dias (mediana) entre releases
caarlos0,env,5834,271,Go,51,7000,52.0,SLOW,52.0 dias (mediana) entre releases
LSPosed,LSPosed.github.io,5821,215,HTML,23,600,51.0,SLOW,51.0 dias (mediana) entre releases
libfuse,libfuse,5818,1225,C,57,23100,57.0,SLOW,57.0 dias (mediana) entre releases
schemaorg,schemaorg,5813,884,HTML,25,14800,81.0,SLOW,81.0 dias (mediana) entre releases
doctrine,common,5811,290,PHP,42,22100,72,SLOW,72 dias (mediana) entre releases
Kotlin,kotlinx.serialization,5810,665,Kotlin,34,19100,56,SLOW,56 dias (mediana) entre releases
Neargye,magic_enum,5799,517,C++,23,7300,79.0,SLOW,79.0 dias (mediana) entre releases
dsherret,ts-morph,5797,226,TypeScript,23,6600,82,SLOW,82 dias (mediana) entre releases
Tatsu-syo,noMeiryoUI,5791,174,C++,29,1500,105,SLOW,105 dias (mediana) entre releases
OISF,suricata,5766,1619,C,87,29900,57,SLOW,57 dias (mediana) entre releases
hashicorp,go-plugin,5765,493,Go,21,6200,84,SLOW,84 dias (mediana) entre releases
carp-lang,Carp,5752,179,Haskell,20,6400,94.5,SLOW,94.5 dias (mediana) entre releases
arvidn,libtorrent,5742,1056,C++,59,15600,53,SLOW,53 dias (mediana) entre releases
0xERR0R,blocky,5736,245,Go,32,7500,52,SLOW,52 dias (mediana) entre releases
HexFiend,HexFiend,5721,447,Objective-C,20,8100,134,SLOW,134 dias (mediana) entre releases
ledger,ledger,5711,524,C++,28,24400,53,SLOW,53 dias (mediana) entre releases
mislav,will_paginate,5705,866,Ruby,22,7400,247.5,SLOW,247.5 dias (mediana) entre releases
dokan-dev,dokany,5686,689,C,47,8800,56.5,SLOW,56.5 dias (mediana) entre releases
rack,rack-attack,5682,343,Ruby,25,9300,64.0,SLOW,64.0 dias (mediana) entre releases
jagrosh,MusicBot,5679,2744,Java,38,1700,52.5,SLOW,52.5 dias (mediana) entre releases
JanusGraph,janusgraph,5669,1211,Java,28,19800,63,SLOW,63 dias (mediana) entre releases
python-attrs,attrs,5656,408,Python,26,18000,122.0,SLOW,122.0 dias (mediana) entre releases
bwmarrin,discordgo,5652,875,Go,31,24100,113,SLOW,113 dias (mediana) entre releases
meefik,linuxdeploy,5652,705,Java,37,1800,59.5,SLOW,59.5 dias (mediana) entre releases
bats-core,bats-core,5640,453,Shell,24,14300,119.0,SLOW,119.0 dias (mediana) entre releases
moxiecode,plupload,5627,1411,JavaScript,21,6800,100,SLOW,100 dias (mediana) entre releases
RIOT-OS,RIOT,5626,2067,C,49,53300,94.5,SLOW,94.5 dias (mediana) entre releases
mindee,doctr,5614,596,Python,20,6700,54,SLOW,54 dias (mediana) entre releases
00-Evan,shattered-pixel-dungeon,5612,1319,Java,51,200,82.0,SLOW,82.0 dias (mediana) entre releases
tianocore,edk2,5576,2943,C,32,100300,90,SLOW,90 dias (mediana) entre releases
python-websockets,websockets,5566,573,Python,46,8100,73,SLOW,73 dias (mediana) entre releases
mlpack,mlpack,5528,1679,C++,52,33400,53.5,SLOW,53.5 dias (mediana) entre releases
HeidiSQL,HeidiSQL,5526,525,Pascal,32,3400,101.0,SLOW,101.0 dias (mediana) entre releases
karlstav,cava,5525,268,C,32,9100,80,SLOW,80 dias (mediana) entre releases
projectdiscovery,naabu,5522,632,Go,36,6300,52.5,SLOW,52.5 dias (mediana) entre releases
commixproject,commix,5518,902,Python,39,2300,69.5,SLOW,69.5 dias (mediana) entre releases
day8,re-frame,5506,718,Clojure,44,21300,51,SLOW,51 dias (mediana) entre releases
microsoft,Windows-classic-samples,5489,3320,Unknown,120,1700,52.5,SLOW,52.5 dias (mediana) entre releases
ServiceStack,ServiceStack,5483,1628,C#,83,34700,52.5,SLOW,52.5 dias (mediana) entre releases
mhammond,pywin32,5477,844,C++,20,10900,133,SLOW,133 dias (mediana) entre releases
vercel,ms,5453,285,TypeScript,20,4100,134,SLOW,134 dias (mediana) entre releases
haraka,Haraka,5452,689,JavaScript,36,20900,52.5,SLOW,52.5 dias (mediana) entre releases
Dash-Industry-Forum,dash.js,5449,1729,JavaScript,59,23900,56.5,SLOW,56.5 dias (mediana) entre releases
Ne0nd0g,merlin,5418,843,Go,30,1700,66,SLOW,66 dias (mediana) entre releases
cnr-isti-vclab,meshlab,5411,866,C++,27,8300,53,SLOW,53 dias (mediana) entre releases
Platane,snk,5385,2106,TypeScript,40,700,63,SLOW,63 dias (mediana) entre releases
prometheus,blackbox_exporter,5383,1157,Go,33,13700,95.0,SLOW,95.0 dias (mediana) entre releases
LibreCAD,LibreCAD,5371,1137,C++,23,16500,118.0,SLOW,118.0 dias (mediana) entre releases
hylang,hy,5361,372,Python,22,18000,148,SLOW,148 dias (mediana) entre releases
ClosedXML,ClosedXML,5351,906,C#,45,11700,55,SLOW,55 dias (mediana) entre releases
cubefs,cubefs,5312,678,Go,42,17400,55,SLOW,55 dias (mediana) entre releases
ImageOptim,gifski,5306,165,Rust,36,2400,58,SLOW,58 dias (mediana) entre releases
GothenburgBitFactory,taskwarrior,5301,374,C++,21,20000,64.0,SLOW,64.0 dias (mediana) entre releases
gnif,LookingGlass,5294,288,C,24,7700,104,SLOW,104 dias (mediana) entre releases
umputun,remark42,5291,417,Go,24,15100,74,SLOW,74 dias (mediana) entre releases
Lymphatus,caesium-image-compressor,5264,310,C++,31,4000,51.5,SLOW,51.5 dias (mediana) entre releases
tummychow,git-absorb,5257,86,Rust,21,4200,86,SLOW,86 dias (mediana) entre releases
dunst-project,dunst,5247,365,C,25,17100,96,SLOW,96 dias (mediana) entre releases
hneemann,Digital,5239,528,Java,35,3100,59,SLOW,59 dias (mediana) entre releases
Azgaar,Fantasy-Map-Generator,5239,808,JavaScript,20,6000,62,SLOW,62 dias (mediana) entre releases
rails,thor,5213,550,Ruby,31,25700,178.0,SLOW,178.0 dias (mediana) entre releases
mozillazg,python-pinyin,5198,626,Python,38,2800,53,SLOW,53 dias (mediana) entre releases
OpenShot,openshot-qt,5188,631,Python,25,6200,98.0,SLOW,98.0 dias (mediana) entre releases
intel,hyperscan,5188,764,C++,24,3100,77.5,SLOW,77.5 dias (mediana) entre releases
jwilder,dockerize,5173,425,Go,21,5200,89,SLOW,89 dias (mediana) entre releases
LWJGL,lwjgl3,5169,670,Java,21,5300,134.5,SLOW,134.5 dias (mediana) entre releases
Netflix,vmaf,5152,797,Python,23,10700,110.5,SLOW,110.5 dias (mediana) entre releases
burrowers,garble,5141,321,Go,25,2100,57.0,SLOW,57.0 dias (mediana) entre releases
the1812,Malware-Patch,5140,313,C#,33,200,62.0,SLOW,62.0 dias (mediana) entre releases
qtile,qtile,5139,719,Python,26,44100,77.5,SLOW,77.5 dias (mediana) entre releases
google-ar,arcore-android-sdk,5137,1253,C++,59,1400,54,SLOW,54 dias (mediana) entre releases
django-crispy-forms,django-crispy-forms,5136,729,Python,27,22900,101.5,SLOW,101.5 dias (mediana) entre releases
google,highway,5132,387,C++,23,10200,55.5,SLOW,55.5 dias (mediana) entre releases
leokhoa,laragon,5124,468,PHP,25,4000,52,SLOW,52 dias (mediana) entre releases
patriciogonzalezvivo,glslViewer,5113,366,C++,30,5500,56.5,SLOW,56.5 dias (mediana) entre releases
dorssel,usbipd-win,5096,313,C#,29,1400,52.5,SLOW,52.5 dias (mediana) entre releases
4gray,iptvnator,5093,646,TypeScript,28,3900,54,SLOW,54 dias (mediana) entre releases
rasbt,mlxtend,5083,886,Python,32,11100,92.0,SLOW,92.0 dias (mediana) entre releases
volcano-sh,volcano,5069,1208,Go,40,38700,57.0,SLOW,57.0 dias (mediana) entre releases
tboox,tbox,5066,750,C,23,3500,165.0,SLOW,165.0 dias (mediana) entre releases
phusion,passenger,5062,556,C++,33,14300,61.0,SLOW,61.0 dias (mediana) entre releases
get-alex,alex,5060,212,JavaScript,33,4400,53,SLOW,53 dias (mediana) entre releases
kubernetes,website,5059,15103,HTML,29,659900,117.5,SLOW,117.5 dias (mediana) entre releases
OpenTSDB,opentsdb,5058,1240,Java,27,17500,128,SLOW,128 dias (mediana) entre releases
tianshiyeben,wgcloud,5046,893,Java,29,300,64,SLOW,64 dias (mediana) entre releases
confluentinc,confluent-kafka-go,5038,695,HTML,32,9200,72,SLOW,72 dias (mediana) entre releases
bootboxjs,bootbox,5038,1032,JavaScript,27,9100,68,SLOW,68 dias (mediana) entre releases
racket,racket,5032,687,Racket,20,45400,88,SLOW,88 dias (mediana) entre releases
containers,bubblewrap,5021,268,C,23,6400,111,SLOW,111 dias (mediana) entre releases
apple,coremltools,5020,732,Python,45,19900,58.5,SLOW,58.5 dias (mediana) entre releases
butlerx,wetty,5005,735,TypeScript,23,7600,55,SLOW,55 dias (mediana) entre releases
google,grr,4995,792,Python,30,5300,92,SLOW,92 dias (mediana) entre releases
PHP-FFMpeg,PHP-FFMpeg,4992,900,PHP,27,8100,80.0,SLOW,80.0 dias (mediana) entre releases
wp-cli,wp-cli,4987,1005,PHP,55,23700,63,SLOW,63 dias (mediana) entre releases
