owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
NVIDIA,thrust,4986,763,C++,49,10700,79,SLOW,79 dias (mediana) entre releases
ReactiveX,RxPY,4974,367,Python,20,10500,91,SLOW,91 dias (mediana) entre releases
JodaOrg,joda-time,4973,1015,Java,50,11000,66,SLOW,66 dias (mediana) entre releases
Bogdanp,dramatiq,4972,347,Python,28,12500,79.5,SLOW,79.5 dias (mediana) entre releases
zalando,postgres-operator,4965,1054,Go,26,20600,76,SLOW,76 dias (mediana) entre releases
tidyverse,dplyr,4960,2133,R,43,29700,55.5,SLOW,55.5 dias (mediana) entre releases
panda3d,panda3d,4955,847,C++,22,17600,128,SLOW,128 dias (mediana) entre releases
bcpierce00,unison,4939,257,OCaml,20,5600,176,SLOW,176 dias (mediana) entre releases
lugg,react-native-config,4931,660,Java,32,12500,57.5,SLOW,57.5 dias (mediana) entre releases
sindresorhus,electron-store,4926,161,JavaScript,27,1900,54,SLOW,54 dias (mediana) entre releases
ossec,ossec-hids,4913,1065,C,30,18900,88,SLOW,88 dias (mediana) entre releases
Qix-,color,4910,274,JavaScript,21,4600,62,SLOW,62 dias (mediana) entre releases
tianon,gosu,4900,351,Shell,20,1500,133.5,SLOW,133.5 dias (mediana) entre releases
TimOliver,TOCropViewController,4880,1006,Objective-C,20,11800,83.5,SLOW,83.5 dias (mediana) entre releases
jazzband,django-silk,4861,352,Python,48,16400,67.0,SLOW,67.0 dias (mediana) entre releases
bbc,wraith,4844,358,Ruby,30,8300,59,SLOW,59 dias (mediana) entre releases
apache,maven,4842,2787,Java,27,26200,53,SLOW,53 dias (mediana) entre releases
google-deepmind,open_spiel,4839,1039,C++,22,20700,77.0,SLOW,77.0 dias (mediana) entre releases
variadico,noti,4833,140,Go,24,2900,87,SLOW,87 dias (mediana) entre releases
arrayfire,arrayfire,4822,550,C++,35,9600,53.0,SLOW,53.0 dias (mediana) entre releases
moneyphp,money,4802,449,PHP,44,10200,62.5,SLOW,62.5 dias (mediana) entre releases
quantumlib,Cirq,4766,1152,Python,30,25900,79.0,SLOW,79.0 dias (mediana) entre releases
RodZill4,material-maker,4761,277,GDScript,35,3800,55,SLOW,55 dias (mediana) entre releases
Ullaakut,cameradar,4755,584,Go,24,1600,64.0,SLOW,64.0 dias (mediana) entre releases
pytorch,ignite,4712,656,Python,25,22500,114.0,SLOW,114.0 dias (mediana) entre releases
3proxy,3proxy,4705,864,C,28,1000,65.0,SLOW,65.0 dias (mediana) entre releases
deepjavalibrary,djl,4691,730,Java,36,14900,67.0,SLOW,67.0 dias (mediana) entre releases
angryip,ipscan,4682,782,Java,32,3900,84,SLOW,84 dias (mediana) entre releases
tencentmusic,cube-studio,4682,822,Python,21,4000,71.5,SLOW,71.5 dias (mediana) entre releases
stleary,JSON-java,4676,2593,Java,24,12000,129,SLOW,129 dias (mediana) entre releases
scala-js,scala-js,4675,401,Scala,33,10600,64.0,SLOW,64.0 dias (mediana) entre releases
nomcopter,react-mosaic,4672,237,TypeScript,39,1900,51,SLOW,51 dias (mediana) entre releases
SadeghHayeri,GreenTunnel,4669,295,JavaScript,20,1500,51.0,SLOW,51.0 dias (mediana) entre releases
lc,gau,4669,501,Go,22,1600,64,SLOW,64 dias (mediana) entre releases
offu,WeRoBot,4664,998,Python,28,2400,76,SLOW,76 dias (mediana) entre releases
rusterlium,rustler,4657,232,Rust,25,8300,77,SLOW,77 dias (mediana) entre releases
carltongibson,django-filter,4651,767,Python,23,22000,116,SLOW,116 dias (mediana) entre releases
hhatto,autopep8,4648,288,Python,30,6300,65.0,SLOW,65.0 dias (mediana) entre releases
xfangfang,wiliwili,4637,206,C++,22,1500,58,SLOW,58 dias (mediana) entre releases
MrSwitch,hello.js,4634,599,JavaScript,35,7500,66.0,SLOW,66.0 dias (mediana) entre releases
Masterminds,sprig,4620,469,Go,33,10200,61,SLOW,61 dias (mediana) entre releases
autofac,Autofac,4616,847,C#,46,8400,54,SLOW,54 dias (mediana) entre releases
FormidableLabs,react-live,4570,257,TypeScript,32,6700,54,SLOW,54 dias (mediana) entre releases
objectbox,objectbox-java,4562,305,Java,49,1100,51,SLOW,51 dias (mediana) entre releases
Varying-Vagrant-Vagrants,VVV,4536,841,Shell,26,17600,118,SLOW,118 dias (mediana) entre releases
h2database,h2database,4516,1279,Java,24,20000,81,SLOW,81 dias (mediana) entre releases
magefile,mage,4515,271,Go,21,7400,55,SLOW,55 dias (mediana) entre releases
tailwindlabs,tailwindcss-forms,4513,227,HTML,26,1900,69,SLOW,69 dias (mediana) entre releases
kasper,phoenix,4508,128,Objective-C,22,2600,103,SLOW,103 dias (mediana) entre releases
tensorflow,datasets,4499,1590,Python,37,32300,62.5,SLOW,62.5 dias (mediana) entre releases
OAID,Tengine,4495,982,C++,20,8200,51,SLOW,51 dias (mediana) entre releases
mozilla,rhino,4484,903,JavaScript,32,14700,244,SLOW,244 dias (mediana) entre releases
tokio-rs,prost,4476,583,Rust,38,16200,52.0,SLOW,52.0 dias (mediana) entre releases
improbable-eng,grpc-web,4473,443,TypeScript,21,9300,70,SLOW,70 dias (mediana) entre releases
KnpLabs,snappy,4465,438,PHP,29,9900,62,SLOW,62 dias (mediana) entre releases
freedomofpress,dangerzone,4460,212,Python,24,3300,82,SLOW,82 dias (mediana) entre releases
jacoco,jacoco,4441,1186,Java,50,6000,86,SLOW,86 dias (mediana) entre releases
kermitt2,grobid,4439,521,Java,22,6700,180,SLOW,180 dias (mediana) entre releases
zdhxiong,mdui,4427,377,TypeScript,23,1000,99,SLOW,99 dias (mediana) entre releases
zeux,pugixml,4416,783,C++,22,8600,260,SLOW,260 dias (mediana) entre releases
has2k1,plotnine,4411,244,Python,33,11300,63.0,SLOW,63.0 dias (mediana) entre releases
airbnb,DeepLinkDispatch,4400,410,Java,24,5400,53,SLOW,53 dias (mediana) entre releases
thoughtbot,neat,4390,422,Ruby,25,6400,73,SLOW,73 dias (mediana) entre releases
VREMSoftwareDevelopment,WiFiAnalyzer,4381,698,Kotlin,31,5400,87.5,SLOW,87.5 dias (mediana) entre releases
DistrictDataLabs,yellowbrick,4380,567,Python,24,11200,81.0,SLOW,81.0 dias (mediana) entre releases
dmunozv04,iSponsorBlockTV,4379,189,Python,22,3000,51,SLOW,51 dias (mediana) entre releases
hynek,structlog,4376,256,Python,21,13500,54,SLOW,54 dias (mediana) entre releases
dotnet,Open-XML-SDK,4370,572,C#,39,5600,69,SLOW,69 dias (mediana) entre releases
dvorka,hstr,4353,239,C,24,5600,103,SLOW,103 dias (mediana) entre releases
pytorch,serve,4353,889,Java,24,21900,62,SLOW,62 dias (mediana) entre releases
wooorm,franc,4342,183,JavaScript,39,1000,116,SLOW,116 dias (mediana) entre releases
OpenVPN,easy-rsa,4341,1219,Shell,27,7100,132.0,SLOW,132.0 dias (mediana) entre releases
stern,stern,4335,151,Go,26,5400,56.5,SLOW,56.5 dias (mediana) entre releases
Breakthrough,PySceneDetect,4316,464,Python,36,3700,93,SLOW,93 dias (mediana) entre releases
pallets-eco,flask-sqlalchemy,4314,900,Python,22,12000,81,SLOW,81 dias (mediana) entre releases
abraham,twitteroauth,4310,1703,PHP,40,5700,54,SLOW,54 dias (mediana) entre releases
dragonwell-project,dragonwell8,4302,502,Java,43,156200,72.5,SLOW,72.5 dias (mediana) entre releases
JonathanSalwan,ROPgadget,4299,569,Python,28,6100,104,SLOW,104 dias (mediana) entre releases
ExcelDataReader,ExcelDataReader,4297,1008,C#,23,4700,57.0,SLOW,57.0 dias (mediana) entre releases
serversideup,amplitudejs,4288,429,JavaScript,26,2700,64,SLOW,64 dias (mediana) entre releases
doctrine,DoctrineMigrationsBundle,4285,220,PHP,38,12000,104.0,SLOW,104.0 dias (mediana) entre releases
melonDS-emu,melonDS,4285,646,C++,24,11500,187,SLOW,187 dias (mediana) entre releases
manuelbieh,geolib,4269,339,JavaScript,21,6300,85.5,SLOW,85.5 dias (mediana) entre releases
jlegewie,zotfile,4268,293,Java,33,5200,58,SLOW,58 dias (mediana) entre releases
sshnet,SSH.NET,4267,970,C#,20,6400,127,SLOW,127 dias (mediana) entre releases
HMBSbige,NatTypeTester,4261,249,C#,24,400,91.0,SLOW,91.0 dias (mediana) entre releases
prometheus,client_python,4257,838,Python,48,16800,70.0,SLOW,70.0 dias (mediana) entre releases
NVIDIA-Omniverse,PhysX,4241,561,C++,20,700,54,SLOW,54 dias (mediana) entre releases
mybatis,spring-boot-starter,4228,1810,Java,32,3600,136.5,SLOW,136.5 dias (mediana) entre releases
jboss-javassist,javassist,4221,720,Java,24,6400,147.5,SLOW,147.5 dias (mediana) entre releases
canonical,dqlite,4219,237,C,27,3800,78.5,SLOW,78.5 dias (mediana) entre releases
CloudCompare,CloudCompare,4212,1128,C++,33,12800,58.5,SLOW,58.5 dias (mediana) entre releases
zpao,qrcode.react,4195,340,TypeScript,25,2800,51,SLOW,51 dias (mediana) entre releases
osixia,docker-openldap,4180,991,Shell,34,7200,51,SLOW,51 dias (mediana) entre releases
obsproject,obs-websocket,4178,734,C++,26,3400,80.5,SLOW,80.5 dias (mediana) entre releases
testcontainers,testcontainers-dotnet,4169,342,C#,40,13300,51,SLOW,51 dias (mediana) entre releases
jendrikseipp,vulture,4167,173,Python,20,4700,59.5,SLOW,59.5 dias (mediana) entre releases
rfjakob,gocryptfs,4156,286,Go,48,5500,51,SLOW,51 dias (mediana) entre releases
dry-python,returns,4144,140,Python,29,6200,67.0,SLOW,67.0 dias (mediana) entre releases
mangerlahn,Latest,4143,111,Swift,30,11600,57,SLOW,57 dias (mediana) entre releases
apache,kvrocks,4136,584,C++,36,16100,68.5,SLOW,68.5 dias (mediana) entre releases
GlitchEnzo,NuGetForUnity,4131,368,C#,38,5200,62.5,SLOW,62.5 dias (mediana) entre releases
ONLYOFFICE,DesktopEditors,4117,439,Unknown,52,1300,51,SLOW,51 dias (mediana) entre releases
PowerShell,PSReadLine,4110,317,C#,43,6800,56,SLOW,56 dias (mediana) entre releases
libjpeg-turbo,libjpeg-turbo,4107,1097,C,52,4800,105.0,SLOW,105.0 dias (mediana) entre releases
JabRef,jabref,4103,3040,Java,46,84000,77,SLOW,77 dias (mediana) entre releases
doctrine-extensions,DoctrineExtensions,4103,1256,PHP,62,50500,53,SLOW,53 dias (mediana) entre releases
openrazer,openrazer,4099,594,C,40,23100,101,SLOW,101 dias (mediana) entre releases
praydog,REFramework,4078,436,C++,20,3800,92,SLOW,92 dias (mediana) entre releases
skeeto,w64devkit,4069,292,C,33,900,51.5,SLOW,51.5 dias (mediana) entre releases
NixOS,patchelf,4067,510,C,32,9800,136.5,SLOW,136.5 dias (mediana) entre releases
DiligentGraphics,DiligentEngine,4061,367,Batchfile,23,1300,105.5,SLOW,105.5 dias (mediana) entre releases
s-yadav,react-number-format,4057,419,JavaScript,49,8300,54,SLOW,54 dias (mediana) entre releases
DistroAV,DistroAV,4038,410,C++,39,5100,56.5,SLOW,56.5 dias (mediana) entre releases
lucaslorentz,caddy-docker-proxy,4035,202,Go,42,4100,52.0,SLOW,52.0 dias (mediana) entre releases
aya-rs,aya,4032,356,Rust,26,10500,77.0,SLOW,77.0 dias (mediana) entre releases
go-ozzo,ozzo-validation,4027,235,Go,21,2600,68.5,SLOW,68.5 dias (mediana) entre releases
Yooooomi,your_spotify,4020,169,TypeScript,22,3000,66.0,SLOW,66.0 dias (mediana) entre releases
more-itertools,more-itertools,4004,308,Python,48,13600,68.5,SLOW,68.5 dias (mediana) entre releases
sindresorhus,p-queue,3984,196,TypeScript,33,3300,56,SLOW,56 dias (mediana) entre releases
apache,age,3983,459,C,29,9100,74.5,SLOW,74.5 dias (mediana) entre releases
rstudio,bookdown,3979,1276,JavaScript,45,11400,56.5,SLOW,56.5 dias (mediana) entre releases
Gnucash,gnucash,3968,884,C,72,54200,56,SLOW,56 dias (mediana) entre releases
patriksimek,vm2,3954,312,JavaScript,21,3800,54,SLOW,54 dias (mediana) entre releases
stephane,libmodbus,3947,1888,C,25,7200,142,SLOW,142 dias (mediana) entre releases
opensourcepos,opensourcepos,3937,2405,PHP,28,23800,118.0,SLOW,118.0 dias (mediana) entre releases
yeoman,yo,3930,402,JavaScript,46,6400,53,SLOW,53 dias (mediana) entre releases
linkedin,Burrow,3921,812,Go,28,12200,89,SLOW,89 dias (mediana) entre releases
jquery,jquery-mousewheel,3910,1671,JavaScript,21,1400,60.0,SLOW,60.0 dias (mediana) entre releases
rusqlite,rusqlite,3899,432,Rust,43,14200,56,SLOW,56 dias (mediana) entre releases
picocms,Pico,3896,613,PHP,29,4500,70.0,SLOW,70.0 dias (mediana) entre releases
projectM-visualizer,projectm,3895,421,C++,34,10000,64,SLOW,64 dias (mediana) entre releases
icsharpcode,SharpZipLib,3890,1000,C#,20,6400,128,SLOW,128 dias (mediana) entre releases
kubernetes-client,java,3889,2056,Java,56,18400,52,SLOW,52 dias (mediana) entre releases
FRRouting,frr,3888,1406,C,75,71600,56.5,SLOW,56.5 dias (mediana) entre releases
moment,moment-timezone,3878,836,JavaScript,61,5300,62.0,SLOW,62.0 dias (mediana) entre releases
desandro,draggabilly,3875,384,JavaScript,26,600,52,SLOW,52 dias (mediana) entre releases
francoischalifour,medium-zoom,3871,171,JavaScript,21,1400,66,SLOW,66 dias (mediana) entre releases
osm-search,Nominatim,3867,781,Python,41,12000,97.0,SLOW,97.0 dias (mediana) entre releases
darold,pgbadger,3865,360,Perl,29,8900,109.5,SLOW,109.5 dias (mediana) entre releases
mapnik,mapnik,3861,832,C++,26,13600,57,SLOW,57 dias (mediana) entre releases
Dimezis,BlurView,3860,363,Java,32,1000,91,SLOW,91 dias (mediana) entre releases
picoe,Eto,3859,343,C#,39,7800,59,SLOW,59 dias (mediana) entre releases
osfans,trime,3846,422,Kotlin,34,4000,60,SLOW,60 dias (mediana) entre releases
webpack,tapable,3837,399,JavaScript,27,3500,71,SLOW,71 dias (mediana) entre releases
pika,pika,3835,850,Python,25,22400,80.5,SLOW,80.5 dias (mediana) entre releases
django-guardian,django-guardian,3833,585,Python,20,17800,61,SLOW,61 dias (mediana) entre releases
srsran,srsRAN_4G,3824,1230,C++,27,9900,89.5,SLOW,89.5 dias (mediana) entre releases
frangoteam,FUXA,3822,1072,TypeScript,42,5800,57.0,SLOW,57.0 dias (mediana) entre releases
apple,swift-log,3818,331,Swift,20,8700,106,SLOW,106 dias (mediana) entre releases
puckel,docker-airflow,3810,564,Shell,39,3600,51,SLOW,51 dias (mediana) entre releases
uncss,grunt-uncss,3807,173,HTML,31,2000,55,SLOW,55 dias (mediana) entre releases
pkluz,PKHUD,3790,497,Swift,21,5000,96.0,SLOW,96.0 dias (mediana) entre releases
dremin,RetroBar,3784,311,C#,23,6300,65.0,SLOW,65.0 dias (mediana) entre releases
mandiant,flare-floss,3780,502,Python,30,4600,125,SLOW,125 dias (mediana) entre releases
frejs,fre,3751,350,TypeScript,21,7700,51.0,SLOW,51.0 dias (mediana) entre releases
VsVim,VsVim,3743,415,C#,21,7500,135.5,SLOW,135.5 dias (mediana) entre releases
kasketis,netfox,3736,390,Swift,39,5700,180.5,SLOW,180.5 dias (mediana) entre releases
flasgger,flasgger,3729,527,Python,24,11200,69,SLOW,69 dias (mediana) entre releases
maruel,panicparse,3706,102,Go,21,1600,56.5,SLOW,56.5 dias (mediana) entre releases
hanickadot,compile-time-regular-expressions,3701,203,C++,27,3300,78,SLOW,78 dias (mediana) entre releases
Kotlin,dokka,3699,466,Kotlin,50,15700,54,SLOW,54 dias (mediana) entre releases
piroor,treestyletab,3689,292,JavaScript,44,9800,57,SLOW,57 dias (mediana) entre releases
grpc-ecosystem,grpc-spring,3685,863,Java,34,8100,59.5,SLOW,59.5 dias (mediana) entre releases
davidstutz,bootstrap-multiselect,3680,1967,HTML,20,11900,73,SLOW,73 dias (mediana) entre releases
oblador,react-native-progress,3674,517,JavaScript,23,3900,78.5,SLOW,78.5 dias (mediana) entre releases
jwt,ruby-jwt,3663,375,Ruby,36,14500,89,SLOW,89 dias (mediana) entre releases
pgbouncer,pgbouncer,3646,520,C,23,10800,101.5,SLOW,101.5 dias (mediana) entre releases
abhiTronix,vidgear,3635,273,Python,23,1500,77.0,SLOW,77.0 dias (mediana) entre releases
kamiyaa,joshuto,3633,161,Rust,22,7600,100.5,SLOW,100.5 dias (mediana) entre releases
upper,db,3626,239,Go,39,4100,69.0,SLOW,69.0 dias (mediana) entre releases
fatfreecrm,fat_free_crm,3625,1326,Ruby,40,15300,113.0,SLOW,113.0 dias (mediana) entre releases
clojure-emacs,cider,3615,651,Emacs Lisp,55,35300,71.0,SLOW,71.0 dias (mediana) entre releases
spockframework,spock,3614,476,Java,26,13100,121,SLOW,121 dias (mediana) entre releases
sjtug,SJTUThesis,3612,797,TeX,23,4800,146,SLOW,146 dias (mediana) entre releases
knadh,koanf,3610,181,Go,24,6100,54,SLOW,54 dias (mediana) entre releases
jkbrzt,rrule,3606,539,TypeScript,27,7200,95,SLOW,95 dias (mediana) entre releases
luarocks,luarocks,3600,467,Lua,68,11800,73.5,SLOW,73.5 dias (mediana) entre releases
pavel-odintsov,fastnetmon,3597,578,C++,20,5500,100.0,SLOW,100.0 dias (mediana) entre releases
pwntester,ysoserial.net,3596,520,C#,20,3800,57.0,SLOW,57.0 dias (mediana) entre releases
jimsalterjrs,sanoid,3582,336,Perl,20,10300,160.5,SLOW,160.5 dias (mediana) entre releases
askama-rs,askama-old,3581,219,Rust,20,13200,59,SLOW,59 dias (mediana) entre releases
WordPress,Requests,3579,503,PHP,22,7200,76,SLOW,76 dias (mediana) entre releases
mcuadros,ofelia,3571,198,Go,30,3500,50.5,SLOW,50.5 dias (mediana) entre releases
google,nsjail,3563,293,C++,25,5400,55.5,SLOW,55.5 dias (mediana) entre releases
thoughtbot,shoulda-matchers,3560,911,Ruby,25,33400,132,SLOW,132 dias (mediana) entre releases
conduktor,kafka-stack-docker-compose,3560,1310,Shell,22,2800,73.5,SLOW,73.5 dias (mediana) entre releases
microcosm-cc,bluemonday,3559,190,Go,26,4200,60,SLOW,60 dias (mediana) entre releases
pytorch,text,3559,814,Python,31,15500,72.0,SLOW,72.0 dias (mediana) entre releases
dunglas,vulcain,3558,106,Go,21,2300,67.0,SLOW,67.0 dias (mediana) entre releases
ngxs,store,3556,406,TypeScript,28,17600,75,SLOW,75 dias (mediana) entre releases
google,deepvariant,3551,767,Python,24,4000,133,SLOW,133 dias (mediana) entre releases
cilium,pwru,3551,208,C,20,5000,57.0,SLOW,57.0 dias (mediana) entre releases
LinShunKang,MyPerf4J,3550,561,Java,24,800,53,SLOW,53 dias (mediana) entre releases
citusdata,pg_cron,3548,231,C,23,5800,142.0,SLOW,142.0 dias (mediana) entre releases
thephpleague,fractal,3544,348,PHP,21,9300,100.5,SLOW,100.5 dias (mediana) entre releases
ctimmerm,axios-mock-adapter,3543,255,JavaScript,38,7400,65,SLOW,65 dias (mediana) entre releases
opendilab,DI-engine,3542,417,Python,22,5300,52,SLOW,52 dias (mediana) entre releases
awslabs,deequ,3540,573,Scala,30,8100,83.5,SLOW,83.5 dias (mediana) entre releases
tensorflow,hub,3521,1651,Python,20,10600,84,SLOW,84 dias (mediana) entre releases
JamieMason,ImageOptim-CLI,3513,127,TypeScript,20,1800,127,SLOW,127 dias (mediana) entre releases
premake,premake-core,3511,642,C,20,23700,104,SLOW,104 dias (mediana) entre releases
ueberauth,guardian,3503,386,Elixir,33,17400,79.0,SLOW,79.0 dias (mediana) entre releases
microsoft,hummingbird,3499,286,Python,25,3900,59.5,SLOW,59.5 dias (mediana) entre releases
vispy,vispy,3496,626,Python,40,20600,53,SLOW,53 dias (mediana) entre releases
opencontainers,runtime-spec,3489,594,Go,21,13000,82.0,SLOW,82.0 dias (mediana) entre releases
primus,eventemitter3,3487,230,JavaScript,25,2900,101,SLOW,101 dias (mediana) entre releases
joeyism,linkedin_scraper,3482,820,Python,25,3000,79,SLOW,79 dias (mediana) entre releases
CVCalendar,CVCalendar,3481,610,Swift,28,5700,58,SLOW,58 dias (mediana) entre releases
thomasdondorf,puppeteer-cluster,3480,326,TypeScript,26,1600,61,SLOW,61 dias (mediana) entre releases
holoviz,datashader,3478,378,Python,40,6200,65,SLOW,65 dias (mediana) entre releases
vernemq,vernemq,3463,416,Erlang,50,6600,51.0,SLOW,51.0 dias (mediana) entre releases
go-jet,jet,3457,167,Go,21,5000,101.5,SLOW,101.5 dias (mediana) entre releases
introlab,rtabmap,3456,872,C++,35,5800,59.0,SLOW,59.0 dias (mediana) entre releases
web-push-libs,web-push,3452,313,JavaScript,23,5800,74.5,SLOW,74.5 dias (mediana) entre releases
geany,geany,3451,643,C,23,24400,122.0,SLOW,122.0 dias (mediana) entre releases
mvscode,frps-onekey,3442,857,Shell,35,700,57.5,SLOW,57.5 dias (mediana) entre releases
mpromonet,webrtc-streamer,3431,646,C++,38,2300,54,SLOW,54 dias (mediana) entre releases
ReactiveX,rxdart,3430,277,Dart,40,5000,51.0,SLOW,51.0 dias (mediana) entre releases
microsoft,DirectXShaderCompiler,3426,806,C++,21,16900,102.0,SLOW,102.0 dias (mediana) entre releases
malcommac,SwiftLocation,3423,434,Swift,20,3800,76,SLOW,76 dias (mediana) entre releases
odriverobotics,ODrive,3420,1636,C++,26,8500,56,SLOW,56 dias (mediana) entre releases
freshOS,Stevia,3417,220,Swift,38,3200,58,SLOW,58 dias (mediana) entre releases
Haivision,srt,3412,910,C++,33,13400,55.0,SLOW,55.0 dias (mediana) entre releases
oblador,react-native-keychain,3411,530,Kotlin,40,10200,55.5,SLOW,55.5 dias (mediana) entre releases
deepjyoti30,ytmdl,3407,171,Python,23,1900,83,SLOW,83 dias (mediana) entre releases
spdk,spdk,3398,1286,C,54,48400,56,SLOW,56 dias (mediana) entre releases
nicksnyder,go-i18n,3398,285,Go,36,5600,61,SLOW,61 dias (mediana) entre releases
apache,linkis,3397,1169,Java,33,19900,55,SLOW,55 dias (mediana) entre releases
SciSharp,TensorFlow.NET,3385,540,C#,20,9500,63,SLOW,63 dias (mediana) entre releases
libgit2,libgit2sharp,3383,914,C#,22,14300,112.5,SLOW,112.5 dias (mediana) entre releases
Aleksoid1978,MPC-BE,3380,129,C,24,1900,57,SLOW,57 dias (mediana) entre releases
KhronosGroup,glslang,3373,919,C++,48,34600,55.5,SLOW,55.5 dias (mediana) entre releases
vitabaks,autobase,3370,537,TypeScript,22,6700,93,SLOW,93 dias (mediana) entre releases
DarthSim,overmind,3357,90,Go,30,3000,52.0,SLOW,52.0 dias (mediana) entre releases
bdwgc,bdwgc,3355,429,C,66,20100,63.0,SLOW,63.0 dias (mediana) entre releases
mxschmitt,action-tmate,3353,317,JavaScript,28,2500,66,SLOW,66 dias (mediana) entre releases
unikraft,unikraft,3343,1433,C,22,11900,68,SLOW,68 dias (mediana) entre releases
MobileNativeFoundation,Store,3341,215,Kotlin,20,9400,71.5,SLOW,71.5 dias (mediana) entre releases
typelift,Swiftz,3335,232,Swift,21,4700,62.0,SLOW,62.0 dias (mediana) entre releases
DanielMartinus,Konfetti,3330,313,Kotlin,20,2800,92,SLOW,92 dias (mediana) entre releases
Revolutionary-Games,Thrive,3330,565,C#,52,55500,69,SLOW,69 dias (mediana) entre releases
maciejhirsz,logos,3329,148,Rust,24,6300,125.0,SLOW,125.0 dias (mediana) entre releases
xnimorz,use-debounce,3325,116,TypeScript,28,3600,66.0,SLOW,66.0 dias (mediana) entre releases
libarchive,libarchive,3325,838,C,28,36200,98,SLOW,98 dias (mediana) entre releases
davidhu2000,react-spinners,3323,283,TypeScript,20,2800,124,SLOW,124 dias (mediana) entre releases
collectd,collectd,3323,1252,C,26,69000,52,SLOW,52 dias (mediana) entre releases
facebookresearch,habitat-sim,3309,489,C++,28,6100,93.5,SLOW,93.5 dias (mediana) entre releases
prometheus-community,postgres_exporter,3298,803,Go,39,15800,58,SLOW,58 dias (mediana) entre releases
eclipse-threadx,threadx,3298,889,C,22,3300,65,SLOW,65 dias (mediana) entre releases
openseadragon,openseadragon,3298,679,JavaScript,29,22800,134,SLOW,134 dias (mediana) entre releases
django-oauth,django-oauth-toolkit,3295,819,Python,30,27500,108,SLOW,108 dias (mediana) entre releases
adafruit,Adafruit_NeoPixel,3295,1306,C++,63,8700,51.0,SLOW,51.0 dias (mediana) entre releases
ekalinin,github-markdown-toc,3285,2721,Shell,22,4300,135,SLOW,135 dias (mediana) entre releases
jupyter-widgets,ipywidgets,3282,963,TypeScript,25,22600,52.0,SLOW,52.0 dias (mediana) entre releases
mridgers,clink,3282,283,C,20,1500,138.0,SLOW,138.0 dias (mediana) entre releases
shouldly,shouldly,3281,426,C#,33,12400,63.5,SLOW,63.5 dias (mediana) entre releases
kubernetes,node-problem-detector,3279,680,Go,40,16200,62,SLOW,62 dias (mediana) entre releases
